,job_id,num_inst,submit_time,num_cpu,num_gpu,gpu_type,duration,user,size,on_time,wasted,jct,resource,node,allocated_at,bw,exec_time,final_node_allocation,final_gpu_allocation,deadline
0,2269,1,1,6.0,0.5,MISC,123616,61d6b6dd5b15,803504,0,0,1,"[0.5, 6.0]",,0,0,1,"[0, 0, 0, 0, 0, 0, 0, 0, 3, 7]","['MISC', 'MISC', 'MISC', 'MISC', 'MISC', 'MISC', 'MISC', 'MISC', 'MISC', 'MISC']",132783.75065783114
1,4083,1,1,3.0,0.5,MISC,350,5b1345f03aa1,1225,0,0,1,"[0.5, 3.0]",,0,0,1,"[8, 8, 8, 8, 8, 8, 8, 8, 8, 8]","['MISC', 'MISC', 'MISC', 'MISC', 'MISC', 'MISC', 'MISC', 'MISC', 'MISC', 'MISC']",359.5712148831217
2,6220,1,1,6.0,0.25,MISC,88,5b1345f03aa1,550,0,0,1,"[0.25, 6.0]",,0,0,1,"[10, 10, 10, 10]","['MISC', 'MISC', 'MISC', 'MISC']",90.22793377102127
3,6362,1,1,6.0,0.5,T4,448,b88fff433bdf,2912,0,0,1,"[0.5, 6.0]",,0,0,1,"[2, 2, 2, 2]","['T4', 'T4', 'T4', 'T4']",453.5917838924835
4,6422,1,1,6.0,0.25,MISC,40,05b25af4dd8b,250,0,0,1,"[0.25, 6.0]",,0,0,1,"[7, 7, 7, 7, 7, 7, 7, 7]","['MISC', 'MISC', 'MISC', 'MISC', 'MISC', 'MISC', 'MISC', 'MISC']",43.9626709786707
5,6579,1,1,6.0,0.25,T4,64,d4d51aca8806,400,0,0,1,"[0.25, 6.0]",,0,0,1,"[4, 4, 4, 4]","['T4', 'T4', 'T4', 'T4']",68.49034581598944
6,6898,1,1,6.0,1.0,T4,24,0ed3eacdff35,168,0,0,1,"[1.0, 6.0]",,0,0,1,"[5, 5, 5, 5]","['T4', 'T4', 'T4', 'T4']",26.417182029877694
7,7156,1,1,6.0,0.25,T4,154,d4d51aca8806,962,0,0,1,"[0.25, 6.0]",,0,0,1,"[6, 6]","['T4', 'T4']",155.4894532640195
8,9068,1,1,18.0,1.0,P100,6590,c2a3a3121170,125210,0,0,1,"[1.0, 18.0]",,0,0,1,"[1, 1]","['P100', 'P100']",6652.74516306879
9,9220,1,1,18.0,1.0,P100,6554,c2a3a3121170,124526,0,0,1,"[1.0, 18.0]",,0,0,1,"[15, 11, 11, 11, 11, 17, 34, 34, 23, 13]","['P100', 'P100', 'P100', 'P100', 'P100', 'P100', 'P100', 'P100', 'P100', 'P100']",6707.485949528291
10,9840,1,2,6.0,1.0,T4,356,c9e676ebc7ef,2492,0,0,2,"[1.0, 6.0]",,0,0,2,"[12, 12, 12, 12]","['T4', 'T4', 'T4', 'T4']",379.4318667541793
11,11111,1,2,6.0,0.25,T4,2239,d4d51aca8806,13993,0,0,2,"[0.25, 6.0]",,0,0,2,"[14, 14, 14, 14, 18, 38]","['T4', 'T4', 'T4', 'T4', 'T4', 'T4']",2366.6627695919556
12,11268,1,2,6.0,1.0,P100,1589,5b1345f03aa1,11123,0,0,2,"[1.0, 6.0]",,0,0,2,"[9, 9, 9, 9]","['P100', 'P100', 'P100', 'P100']",1704.7755164933699
13,14169,1,2,6.0,0.1,MISC,41,58540f191766,250,0,0,2,"[0.1, 6.0]",,0,0,2,"[16, 16, 16, 16, 16, 16, 16, 16]","['MISC', 'MISC', 'MISC', 'MISC', 'MISC', 'MISC', 'MISC', 'MISC']",45.87543239171997
14,14744,1,2,1.0,0.25,MISC,1578,58540f191766,1972,0,0,2,"[0.25, 1.0]",,0,0,2,"[35, 35, 35, 35, 35, 35, 35, 35, 35, 35]","['MISC', 'MISC', 'MISC', 'MISC', 'MISC', 'MISC', 'MISC', 'MISC', 'MISC', 'MISC']",1646.2002277477495
15,17285,1,2,10.0,0.5,T4,629,c4cbaac9966d,6604,0,0,2,"[0.5, 10.0]",,0,0,2,"[30, 30, 19, 19, 19, 19, 19, 19, 44, 27]","['T4', 'T4', 'T4', 'T4', 'T4', 'T4', 'T4', 'T4', 'T4', 'T4']",659.2552490112544
16,17456,1,2,0.5,1.0,T4,511,d4d51aca8806,766,0,0,2,"[1.0, 0.5]",,0,0,2,"[48, 48]","['T4', 'T4']",527.2155451905869
17,18900,1,2,10.0,0.5,T4,619,c4cbaac9966d,6499,0,0,2,"[0.5, 10.0]",,0,0,2,"[47, 47]","['T4', 'T4']",674.8096898570826
18,19089,1,2,6.0,1.0,T4,2084,45bd92802aa9,14588,0,0,2,"[1.0, 6.0]",,0,0,2,"[49, 49, 49, 49, 49, 49]","['T4', 'T4', 'T4', 'T4', 'T4', 'T4']",2244.1354553098436
19,20835,1,2,6.0,1.0,MISC,7193,ebba56ec23b9,50351,0,0,2,"[1.0, 6.0]",,0,0,2,"[31, 31, 31, 31]","['MISC', 'MISC', 'MISC', 'MISC']",7309.842946269897
20,24086,1,3,6.0,0.25,MISC,58,05b25af4dd8b,362,0,0,3,"[0.25, 6.0]",,0,0,3,"[22, 22, 22, 22]","['MISC', 'MISC', 'MISC', 'MISC']",63.45116350929031
21,24511,1,3,6.0,1.0,MISC,8296,5b1345f03aa1,58072,0,0,3,"[1.0, 6.0]",,0,0,3,"[3, 3, 3, 3, 3, 3, 3, 3]","['MISC', 'MISC', 'MISC', 'MISC', 'MISC', 'MISC', 'MISC', 'MISC']",8529.522065050794
22,25496,1,3,6.0,0.25,MISC,13886,77e940954ff6,86787,0,0,3,"[0.25, 6.0]",,0,0,3,"[0, 0, 0, 0]","['MISC', 'MISC', 'MISC', 'MISC']",14187.984690062598
23,25512,1,3,6.0,1.0,MISC,157,05b25af4dd8b,1099,0,0,3,"[1.0, 6.0]",,0,0,3,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['MISC', 'MISC', 'MISC', 'MISC', 'MISC', 'MISC', 'MISC', 'MISC', 'MISC', 'MISC']",171.9868578254024
24,26546,1,3,6.0,0.5,MISC,1134,58540f191766,7371,0,0,3,"[0.5, 6.0]",,0,0,3,"[22, 22, 22, 22, 22, 22, 22, 22]","['MISC', 'MISC', 'MISC', 'MISC', 'MISC', 'MISC', 'MISC', 'MISC']",1148.590645357351
25,27441,1,3,6.0,0.25,T4,7517,d4d51aca8806,46981,0,0,3,"[0.25, 6.0]",,0,0,3,"[26, 26, 26, 26]","['T4', 'T4', 'T4', 'T4']",7805.591351889087
26,28194,1,3,8.0,1.0,MISC,670,0ed3eacdff35,6030,0,0,3,"[1.0, 8.0]",,0,0,3,"[35, 35, 35, 35]","['MISC', 'MISC', 'MISC', 'MISC']",697.0516184924701
27,28251,1,3,6.0,1.0,MISC,1037,57f0cc404c2e,7259,0,0,3,"[1.0, 6.0]",,0,0,3,"[8, 21]","['MISC', 'V100']",1075.6682084210693
28,29060,1,3,6.0,1.0,V100,4192,019c2d91cfa6,29344,0,0,3,"[1.0, 6.0]",,0,0,3,"[32, 32, 32, 32, 32, 32, 32, 32, 40, 40]","['V100', 'V100', 'V100', 'V100', 'V100', 'V100', 'V100', 'V100', 'V100', 'V100']",4305.887147539468
29,29176,1,3,6.0,0.5,MISC,1007,58540f191766,6545,0,0,3,"[0.5, 6.0]",,0,0,3,"[3, 3, 3, 3, 3, 3]","['MISC', 'MISC', 'MISC', 'MISC', 'MISC', 'MISC']",1014.3754596023558
30,29192,1,4,6.0,0.5,MISC,2760,3a7b31330ae3,17940,0,0,4,"[0.5, 6.0]",,0,0,4,"[16, 16, 16, 16, 45, 45, 45, 45, 45, 45]","['MISC', 'MISC', 'MISC', 'MISC', 'MISC', 'MISC', 'MISC', 'MISC', 'MISC', 'MISC']",2890.801266789428
31,31262,1,4,10.0,0.5,T4,360,c4cbaac9966d,3780,0,0,4,"[0.5, 10.0]",,0,0,4,"[28, 28, 28, 28, 42, 42, 42, 42]","['T4', 'T4', 'T4', 'T4', 'T4', 'T4', 'T4', 'T4']",368.4937418627155
32,31924,1,4,6.0,1.0,V100,30139,edc10645cc3f,210973,0,0,4,"[1.0, 6.0]",,0,0,4,"[21, 21, 21, 21]","['V100', 'V100', 'V100', 'V100']",32922.70602175567
33,32433,1,4,6.0,0.5,MISC,3501,58540f191766,22756,0,0,4,"[0.5, 6.0]",,0,0,4,"[45, 45, 45, 45, 45, 45, 45, 45, 45, 45]","['MISC', 'MISC', 'MISC', 'MISC', 'MISC', 'MISC', 'MISC', 'MISC', 'MISC', 'MISC']",3532.5879493472685
34,32582,1,4,6.0,1.0,T4,707,d4d51aca8806,4949,0,0,4,"[1.0, 6.0]",,0,0,4,"[27, 27, 27, 27]","['T4', 'T4', 'T4', 'T4']",731.7277044954815
35,32646,1,4,6.0,0.05,T4,1122,c9e676ebc7ef,6788,0,0,4,"[0.05, 6.0]",,0,0,4,"[26, 26, 26, 26, 26, 26, 26, 26]","['T4', 'T4', 'T4', 'T4', 'T4', 'T4', 'T4', 'T4']",1196.5333855032766
36,32824,1,4,6.0,0.25,MISC,5480,de69ddc1064e,34250,0,0,4,"[0.25, 6.0]",,0,0,4,"[0, 0, 0, 0, 0, 0]","['MISC', 'MISC', 'MISC', 'MISC', 'MISC', 'MISC']",5969.227557869371
37,33066,1,4,4.0,0.5,MISC,3360,6fb93540c8aa,15120,0,0,4,"[0.5, 4.0]",,0,0,4,"[0, 0, 0, 0, 0, 0]","['MISC', 'MISC', 'MISC', 'MISC', 'MISC', 'MISC']",3485.5093687921044
38,33450,1,4,6.0,0.25,MISC,308,de69ddc1064e,1925,0,0,4,"[0.25, 6.0]",,0,0,4,"[10, 10, 10, 10, 10, 10]","['MISC', 'MISC', 'MISC', 'MISC', 'MISC', 'MISC']",317.9224885799051
39,36751,1,4,8.0,1.0,P100,728,a8192d6b0ae9,6552,0,0,4,"[1.0, 8.0]",,0,0,4,"[20, 20, 20, 20, 20, 20]","['P100', 'P100', 'P100', 'P100', 'P100', 'P100']",737.0636148343683
40,40054,1,5,6.0,0.25,MISC,146,5b1345f03aa1,912,0,0,5,"[0.25, 6.0]",,0,0,5,"[16, 16, 16, 16]","['MISC', 'MISC', 'MISC', 'MISC']",160.65444445108858
41,41918,1,5,6.0,0.1,MISC,3087,58540f191766,18830,0,0,5,"[0.1, 6.0]",,0,0,5,"[16, 16]","['MISC', 'MISC']",3330.646196801469
42,43030,1,5,6.0,0.25,MISC,1158,58540f191766,7237,0,0,5,"[0.25, 6.0]",,0,0,5,"[22, 22, 16, 16, 16, 16, 16, 16]","['MISC', 'MISC', 'MISC', 'MISC', 'MISC', 'MISC', 'MISC', 'MISC']",1277.0886520925158
43,43955,1,5,6.0,0.5,MISC,1398,58540f191766,9087,0,0,5,"[0.5, 6.0]",,0,0,5,"[7, 7, 7, 7]","['MISC', 'MISC', 'MISC', 'MISC']",1522.5734173979176
44,45059,1,5,6.0,0.1,MISC,4193,58540f191766,25577,0,0,5,"[0.1, 6.0]",,0,0,5,"[7, 7, 7, 7, 7, 7, 7, 7, 7, 7]","['MISC', 'MISC', 'MISC', 'MISC', 'MISC', 'MISC', 'MISC', 'MISC', 'MISC', 'MISC']",4561.316601470484
45,45920,1,5,6.0,1.0,T4,9871,69d8872acc41,69097,0,0,5,"[1.0, 6.0]",,0,0,5,"[38, 38, 38, 38, 38, 38, 38, 38]","['T4', 'T4', 'T4', 'T4', 'T4', 'T4', 'T4', 'T4']",10251.222596736161
46,47452,1,5,6.0,1.0,T4,24,41f97a75a037,168,0,0,5,"[1.0, 6.0]",,0,0,5,"[6, 6, 14, 47, 47, 14, 14, 14, 14, 14]","['T4', 'T4', 'T4', 'T4', 'T4', 'T4', 'T4', 'T4', 'T4', 'T4']",30.088184725684243
47,47635,1,5,6.0,1.0,MISC,106,a8192d6b0ae9,742,0,0,5,"[1.0, 6.0]",,0,0,5,"[22, 22, 22, 22]","['MISC', 'MISC', 'MISC', 'MISC']",119.84157052239196
48,49223,1,5,6.0,1.0,MISC,183,0ed3eacdff35,1281,0,0,5,"[1.0, 6.0]",,0,0,5,"[10, 10]","['MISC', 'MISC']",190.97656997795636
49,50167,1,5,8.0,1.0,MISC,605,a8192d6b0ae9,5445,0,0,5,"[1.0, 8.0]",,0,0,5,"[16, 16, 31, 40, 45, 8, 8, 8, 8, 35]","['MISC', 'MISC', 'MISC', 'V100', 'MISC', 'MISC', 'MISC', 'MISC', 'MISC', 'MISC']",631.493877363765
50,50800,1,6,6.0,0.25,MISC,86,de69ddc1064e,537,0,0,6,"[0.25, 6.0]",,0,0,6,"[7, 7, 7, 7]","['MISC', 'MISC', 'MISC', 'MISC']",97.76350649964817
51,51432,1,6,6.0,1.0,MISC,7169,5b1345f03aa1,50183,0,0,6,"[1.0, 6.0]",,0,0,6,"[45, 45]","['MISC', 'MISC']",7678.134982718436
52,51937,1,6,6.0,0.25,MISC,34,05b25af4dd8b,212,0,0,6,"[0.25, 6.0]",,0,0,6,"[31, 31, 31, 31, 31, 31, 31, 31, 16, 16]","['MISC', 'MISC', 'MISC', 'MISC', 'MISC', 'MISC', 'MISC', 'MISC', 'MISC', 'MISC']",42.32406206282467
53,52307,1,6,6.0,1.0,T4,277,c5307d7cd0cc,1939,0,0,6,"[1.0, 6.0]",,0,0,6,"[18, 18, 18, 18, 18, 18]","['T4', 'T4', 'T4', 'T4', 'T4', 'T4']",284.9778495153258
54,55116,1,6,6.0,1.0,MISC,144,b3bfe9b79bb5,1008,0,0,6,"[1.0, 6.0]",,0,0,6,"[16, 16, 16, 16, 16, 16, 16, 16]","['MISC', 'MISC', 'MISC', 'MISC', 'MISC', 'MISC', 'MISC', 'MISC']",159.14368735003768
55,56309,1,6,6.0,1.0,MISC,47,0ed3eacdff35,329,0,0,6,"[1.0, 6.0]",,0,0,6,"[32, 32, 32, 32, 32, 32, 32, 32, 32, 32]","['V100', 'V100', 'V100', 'V100', 'V100', 'V100', 'V100', 'V100', 'V100', 'V100']",55.510457422039636
56,57800,1,6,6.0,1.0,T4,25,0ed3eacdff35,175,0,0,6,"[1.0, 6.0]",,0,0,6,"[4, 42, 42, 42, 42, 42]","['T4', 'T4', 'T4', 'T4', 'T4', 'T4']",31.612027312878567
