,job_id,num_inst,submit_time,num_cpu,num_gpu,gpu_type,duration,user,size,on_time,wasted,jct,resource,node,allocated_at,bw,final_node_allocation,final_gpu_allocation,deadline,exec_time,complete_time,current_duration,speedup
12,50087,1,59,6.0,1.0,MISC,32,0ed3eacdff35,224,0,0,59,"[1.0, 6.0]",,0,0,[0],['MISC'],92.7151453433867,59,91,32.0,1.0
21,10362,1,91,10.0,1.0,T4,7,174bc51448f6,77,0,0,91,"[1.0, 10.0]",,0,0,[6],['T4'],98.32341699477236,91,98,7.0,1.0
10,54116,1,52,6.0,1.0,T4,54,41f97a75a037,378,0,0,52,"[1.0, 6.0]",,0,0,[5],['T4'],106.02394773007632,52,106,54.0,1.0
20,16673,1,81,6.0,1.0,MISC,27,0ed3eacdff35,189,0,0,81,"[1.0, 6.0]",,0,0,[0],['MISC'],109.30271350961229,81,108,27.0,1.0
6,74780,1,42,18.0,1.0,MISC,77,0db4ac3f62ed,1463,0,0,42,"[1.0, 18.0]",,0,0,[0],['MISC'],125.6780597350323,42,119,77.0,1.0
5,69509,1,39,6.0,1.0,MISC,105,b2c52019b2c6,735,0,0,39,"[1.0, 6.0]",,0,0,[0],['MISC'],144.07049536855757,39,144,105.0,1.0
11,42657,1,55,6.0,1.0,MISC,98,0ed3eacdff35,686,0,0,55,"[1.0, 6.0]",,0,0,[0],['MISC'],155.96403394305685,55,153,98.0,1.0
32,19924,1,144,6.0,2.0,T4,15,45bd92802aa9,120,0,0,144,"[2.0, 6.0]",,0,0,[12],['T4'],159.05356855153846,144,159,15.0,1.0
4,6571,1,37,6.0,0.25,T4,123,d4d51aca8806,768,0,0,37,"[0.25, 6.0]",,0,0,[4],['T4'],171.22504120635654,37,160,123.0,1.0
0,60914,1,2,18.0,1.0,T4,188,15241d0454ee,3572,0,0,2,"[1.0, 18.0]",,0,0,[2],['T4'],200.70218713330163,2,190,188.0,1.0
37,11826,1,156,6.0,1.0,MISC,58,84d246e538dc,406,0,0,156,"[1.0, 6.0]",,0,0,[0],['MISC'],217.03251425102334,156,214,58.0,1.0
46,3386,1,200,6.0,1.0,MISC,32,0ed3eacdff35,224,0,0,200,"[1.0, 6.0]",,0,0,[3],['MISC'],233.17320475792314,200,232,32.0,1.0
1,74976,1,4,6.0,1.0,T4,236,c5307d7cd0cc,1652,0,0,4,"[1.0, 6.0]",,0,0,[2],['T4'],257.54864062208367,4,240,236.0,1.0
41,63281,1,181,6.0,1.0,MISC,61,42aa9724a88c,427,0,0,181,"[1.0, 6.0]",,0,0,[0],['MISC'],242.3233052205652,181,242,61.0,1.0
49,83585,1,211,6.0,0.1,MISC,33,4cbd3bcd9ffd,201,0,0,211,"[0.1, 6.0]",,0,0,[0],['MISC'],247.01142575727005,211,244,33.0,1.0
52,8287,1,226,6.0,0.5,MISC,40,05b25af4dd8b,260,0,0,226,"[0.5, 6.0]",,0,0,[0],['MISC'],269.2809493767881,226,266,40.0,1.0
24,30533,1,115,6.0,1.0,T4,165,29380421d3fc,1155,0,0,115,"[1.0, 6.0]",,0,0,[5],['T4'],295.80541265347205,115,280,165.0,1.0
54,46637,1,230,6.0,1.0,MISC,61,0ed3eacdff35,427,0,0,230,"[1.0, 6.0]",,0,0,[3],['MISC'],295.6580853275804,230,291,61.0,1.0
47,37145,1,211,6.0,0.25,MISC,103,b3bfe9b79bb5,643,0,0,211,"[0.25, 6.0]",,0,0,[0],['MISC'],319.3471638271694,211,314,103.0,1.0
61,77475,1,293,6.0,1.0,MISC,44,5b1345f03aa1,308,0,0,293,"[1.0, 6.0]",,0,0,[3],['MISC'],340.5352743012095,293,337,44.0,1.0
56,93593,1,248,6.0,0.5,MISC,114,ba85cca2ba13,741,0,0,248,"[0.5, 6.0]",,0,0,[0],['MISC'],370.14751769339694,248,362,114.0,1.0
16,61476,1,72,6.0,1.0,T4,297,c5307d7cd0cc,2079,0,0,72,"[1.0, 6.0]",,0,0,[5],['T4'],374.7788048123768,72,369,297.0,1.0
63,88108,1,310,18.0,1.0,MISC,79,0db4ac3f62ed,1501,0,0,310,"[1.0, 18.0]",,0,0,[3],['MISC'],394.2195618700216,310,389,79.0,1.0
74,88571,1,359,6.0,1.0,MISC,54,5b1345f03aa1,378,0,0,359,"[1.0, 6.0]",,0,0,[7],['MISC'],414.67658705458956,359,413,54.0,1.0
81,25680,1,396,6.0,1.0,MISC,32,354e3b81c515,224,0,0,396,"[1.0, 6.0]",,0,0,[3],['MISC'],428.7930243580972,396,428,32.0,1.0
53,65007,1,226,6.0,1.0,T4,206,29380421d3fc,1442,0,0,226,"[1.0, 6.0]",,0,0,[12],['T4'],439.1017684751912,226,432,206.0,1.0
76,23269,1,378,6.0,0.25,T4,60,9e3ba63c4d34,375,0,0,378,"[0.25, 6.0]",,0,0,[2],['T4'],441.3133217205128,378,438,60.0,1.0
77,79924,1,378,6.0,1.0,MISC,65,5b1345f03aa1,455,0,0,378,"[1.0, 6.0]",,0,0,[7],['MISC'],446.67757782090837,378,443,65.0,1.0
82,2647,1,397,6.0,1.0,MISC,49,0ed3eacdff35,343,0,0,397,"[1.0, 6.0]",,0,0,[7],['MISC'],450.2663222766904,397,446,49.0,1.0
73,69049,1,353,6.0,0.25,MISC,99,05b25af4dd8b,618,0,0,353,"[0.25, 6.0]",,0,0,[3],['MISC'],453.3805696714073,353,452,99.0,1.0
85,45738,1,402,6.0,1.0,MISC,53,42aa9724a88c,371,0,0,402,"[1.0, 6.0]",,0,0,[7],['MISC'],458.4957454203343,402,455,53.0,1.0
8,77822,1,51,6.0,0.25,T4,424,d4d51aca8806,2650,0,0,51,"[0.25, 6.0]",,0,0,[4],['T4'],485.4353103141925,51,475,424.0,1.0
99,93628,1,475,6.0,1.0,T4,15,9cc55781f4a6,105,0,0,475,"[1.0, 6.0]",,0,0,[14],['T4'],490.95399913497687,475,490,15.0,1.0
17,82356,1,73,0.5,0.25,P100,423,b2c52019b2c6,317,0,0,73,"[0.25, 0.5]",,0,0,[1],['P100'],509.94083184877627,73,496,423.0,1.0
67,36409,1,334,0.5,1.0,V100,163,d4d51aca8806,244,0,0,334,"[1.0, 0.5]",,0,0,[21],['V100'],509.89487499423973,334,497,163.0,1.0
97,14019,1,469,6.0,1.0,MISC,70,a8192d6b0ae9,490,0,0,469,"[1.0, 6.0]",,0,0,[7],['MISC'],545.5498604741334,469,539,70.0,1.0
7,20159,1,49,10.0,0.5,T4,496,c4cbaac9966d,5208,0,0,49,"[0.5, 10.0]",,0,0,[4],['T4'],584.9862437130664,49,545,496.0,1.0
39,80396,1,170,6.0,1.0,T4,377,d4d51aca8806,2639,0,0,170,"[1.0, 6.0]",,0,0,[12],['T4'],554.2803293933475,170,547,377.0,1.0
64,32366,1,317,6.0,1.0,MISC,230,18febf35d3a1,1610,0,0,317,"[1.0, 6.0]",,0,0,[3],['MISC'],564.4562135729857,317,547,230.0,1.0
84,29844,1,400,6.0,0.25,MISC,147,84d246e538dc,918,0,0,400,"[0.25, 6.0]",,0,0,[3],['MISC'],555.3646448902097,400,547,147.0,1.0
57,86862,1,249,2.0,1.0,V100,299,f8526f067dd7,897,0,0,249,"[1.0, 2.0]",,0,0,[21],['V100'],557.6345557117215,249,548,299.0,1.0
103,87666,1,497,18.0,1.0,MISC,72,0db4ac3f62ed,1368,0,0,497,"[1.0, 18.0]",,0,0,[7],['MISC'],569.8613970728113,497,569,72.0,1.0
48,48865,1,211,10.0,0.5,T4,371,c4cbaac9966d,3895,0,0,211,"[0.5, 10.0]",,0,0,[2],['T4'],608.2531444161086,211,582,371.0,1.0
119,11223,1,544,6.0,0.25,T4,45,45bd92802aa9,281,0,0,544,"[0.25, 6.0]",,0,0,[14],['T4'],591.6513425796376,544,589,45.0,1.0
121,76620,1,562,6.0,1.0,MISC,28,0ed3eacdff35,196,0,0,562,"[1.0, 6.0]",,0,0,[3],['MISC'],590.8128816397027,562,590,28.0,1.0
116,32213,1,539,6.0,1.0,MISC,61,42aa9724a88c,427,0,0,539,"[1.0, 6.0]",,0,0,[8],['MISC'],603.6300379582824,539,600,61.0,1.0
113,18715,1,533,6.0,1.0,P100,81,42aa9724a88c,567,0,0,533,"[1.0, 6.0]",,0,0,[15],['P100'],614.8785051817789,533,614,81.0,1.0
126,39879,1,582,6.0,1.0,MISC,34,0ed3eacdff35,238,0,0,582,"[1.0, 6.0]",,0,0,[7],['MISC'],619.0649182535263,582,616,34.0,1.0
79,31305,1,387,6.0,1.0,T4,234,29380421d3fc,1638,0,0,387,"[1.0, 6.0]",,0,0,[5],['T4'],629.2493986192217,387,621,234.0,1.0
102,31893,1,496,6.0,0.25,T4,127,9cc55781f4a6,793,0,0,496,"[0.25, 6.0]",,0,0,[14],['T4'],634.2296381724764,496,623,127.0,1.0
104,73133,1,498,6.0,0.25,T4,125,d4d51aca8806,781,0,0,498,"[0.25, 6.0]",,0,0,[14],['T4'],627.8056602582127,498,623,125.0,1.0
132,46772,1,617,6.0,1.0,MISC,29,0ed3eacdff35,203,0,0,617,"[1.0, 6.0]",,0,0,[7],['MISC'],647.1137007522,617,646,29.0,1.0
133,57585,1,623,6.0,1.0,MISC,44,42aa9724a88c,308,0,0,623,"[1.0, 6.0]",,0,0,[8],['MISC'],669.4327892182629,623,667,44.0,1.0
140,34814,1,648,6.0,1.0,T4,24,0ed3eacdff35,168,0,0,648,"[1.0, 6.0]",,0,0,[19],['T4'],672.6707578460305,648,672,24.0,1.0
