,job_id,num_inst,submit_time,num_cpu,num_gpu,gpu_type,duration,user,size,on_time,wasted,jct,resource,node,allocated_at,bw,exec_time,final_node_allocation,final_gpu_allocation,deadline
5,7197,1,1,6.0,0.25,T4,153,d4d51aca8806,956,0,0,1,"[0.25, 6.0]",,0,0,1,"[4, 18, 2, 2, 2, 2, 2, 2, 2, 2]","['T4', 'T4', 'T4', 'T4', 'T4', 'T4', 'T4', 'T4', 'T4', 'T4']",162.34410796634975
4,7141,1,1,6.0,0.25,T4,244,d4d51aca8806,1525,0,0,1,"[0.25, 6.0]",,0,0,1,"[5, 5, 5, 5, 5, 5]","['T4', 'T4', 'T4', 'T4', 'T4', 'T4']",263.0722929698913
1,2317,1,1,6.0,0.25,MISC,267,de69ddc1064e,1668,0,0,1,"[0.25, 6.0]",,0,0,1,"[8, 16, 0, 0, 0, 0, 3, 3]","['MISC', 'MISC', 'MISC', 'MISC', 'MISC', 'MISC', 'MISC', 'MISC']",274.53861249655284
7,9396,1,1,10.0,0.5,T4,706,c4cbaac9966d,7413,0,0,1,"[0.5, 10.0]",,0,0,1,"[30, 30, 30, 30, 30, 30, 6, 6]","['T4', 'T4', 'T4', 'T4', 'T4', 'T4', 'T4', 'T4']",709.243857171414
9,10048,1,1,6.0,1.0,P100,3121,58540f191766,21847,0,0,1,"[1.0, 6.0]",,0,0,1,"[9, 9]","['P100', 'P100']",3194.6134648272496
3,5231,1,1,6.0,0.25,MISC,4112,edc10645cc3f,25700,0,0,1,"[0.25, 6.0]",,0,0,1,"[10, 10, 10, 10, 10, 10]","['MISC', 'MISC', 'MISC', 'MISC', 'MISC', 'MISC']",4155.146016441723
0,512,1,1,6.0,0.25,T4,4887,d4d51aca8806,30543,0,0,1,"[0.25, 6.0]",,0,0,1,"[27, 27]","['T4', 'T4']",5250.39572923263
6,8951,1,1,18.0,1.0,MISC,6367,c2a3a3121170,120973,0,0,1,"[1.0, 18.0]",,0,0,1,"[8, 8]","['MISC', 'MISC']",6743.966582676303
2,4753,1,1,6.0,0.25,T4,8299,d4d51aca8806,51868,0,0,1,"[0.25, 6.0]",,0,0,1,"[28, 28, 28, 28, 28, 28]","['T4', 'T4', 'T4', 'T4', 'T4', 'T4']",8415.802526883017
8,9575,1,1,6.0,1.0,MISC,63149,eae120b3ece2,442043,0,0,1,"[1.0, 6.0]",,0,0,1,"[7, 7, 7, 7, 7, 7, 7, 7]","['MISC', 'MISC', 'MISC', 'MISC', 'MISC', 'MISC', 'MISC', 'MISC']",63741.676070201975
12,13659,1,2,6.0,1.0,MISC,19,354e3b81c515,133,0,0,2,"[1.0, 6.0]",,0,0,2,"[22, 22, 22, 22, 22, 22, 22, 22]","['MISC', 'MISC', 'MISC', 'MISC', 'MISC', 'MISC', 'MISC', 'MISC']",22.360437264552566
