,job_id,num_inst,submit_time,num_cpu,num_gpu,gpu_type,duration,user,size,on_time,wasted,jct,resource,node,allocated_at,bw,exec_time,final_node_allocation,final_gpu_allocation,deadline
0,59,1,1,18.0,1.0,MISC,2306,5b1345f03aa1,43814,0,0,1,"[1.0, 18.0]",,0,0,1,"[0, 0, 0, 0]","['MISC', 'MISC', 'MISC', 'MISC']",2478.0015452446173
1,778,1,1,6.0,0.25,T4,10929,d4d51aca8806,68306,0,0,1,"[0.25, 6.0]",,0,0,1,"[2, 2]","['T4', 'T4']",11197.64230702182
2,1232,1,1,6.0,0.25,MISC,8810,de69ddc1064e,55062,0,0,1,"[0.25, 6.0]",,0,0,1,"[16, 16, 16, 0, 0, 0, 0, 0, 0, 12]","['MISC', 'MISC', 'MISC', 'MISC', 'MISC', 'MISC', 'MISC', 'MISC', 'MISC', 'T4']",8933.932915030651
3,1301,1,1,6.0,0.25,T4,285,d4d51aca8806,1781,0,0,1,"[0.25, 6.0]",,0,0,1,"[12, 12, 12, 12, 12, 12, 12, 12]","['T4', 'T4', 'T4', 'T4', 'T4', 'T4', 'T4', 'T4']",288.92111252088796
4,1603,1,1,6.0,1.0,MISC,285,18febf35d3a1,1995,0,0,1,"[1.0, 6.0]",,0,0,1,"[6, 6, 0, 0, 0, 0, 23, 23, 23, 23]","['T4', 'T4', 'MISC', 'MISC', 'MISC', 'MISC', 'P100', 'P100', 'P100', 'P100']",307.10903072302875
5,1686,1,1,6.0,0.25,T4,948,d4d51aca8806,5925,0,0,1,"[0.25, 6.0]",,0,0,1,"[12, 12, 12, 12]","['T4', 'T4', 'T4', 'T4']",1000.7007473993436
6,1725,1,1,2.0,1.0,P100,889,b3bfe9b79bb5,2667,0,0,1,"[1.0, 2.0]",,0,0,1,"[23, 23, 12, 18, 18, 18]","['P100', 'P100', 'T4', 'T4', 'T4', 'T4']",942.4947843567196
7,1757,1,1,6.0,0.25,MISC,3103,818eff02f2c4,19393,0,0,1,"[0.25, 6.0]",,0,0,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['MISC', 'MISC', 'MISC', 'MISC', 'MISC', 'MISC', 'MISC', 'MISC', 'MISC', 'MISC']",3113.8621654431977
8,3005,1,1,4.0,0.25,MISC,842,6c545bed7d03,3578,0,0,1,"[0.25, 4.0]",,0,0,1,"[0, 0]","['MISC', 'MISC']",850.8891391963462
9,3472,1,1,6.0,1.0,MISC,61,0ed3eacdff35,427,0,0,1,"[1.0, 6.0]",,0,0,1,"[0, 0, 0, 0]","['MISC', 'MISC', 'MISC', 'MISC']",63.41923144968351
10,3545,1,2,6.0,1.0,P100,35,0ed3eacdff35,245,0,0,2,"[1.0, 6.0]",,0,0,2,"[12, 12]","['T4', 'T4']",39.10706555167493
11,5710,1,2,6.0,0.25,MISC,30,05b25af4dd8b,187,0,0,2,"[0.25, 6.0]",,0,0,2,"[31, 31, 31, 31, 0, 0, 0, 0]","['MISC', 'MISC', 'MISC', 'MISC', 'MISC', 'MISC', 'MISC', 'MISC']",33.683735188815845
12,5793,1,2,6.0,0.5,MISC,809,8cfd63627f23,5258,0,0,2,"[0.5, 6.0]",,0,0,2,"[40, 40, 0, 0, 0, 0, 0, 0, 0, 0]","['V100', 'V100', 'MISC', 'MISC', 'MISC', 'MISC', 'MISC', 'MISC', 'MISC', 'MISC']",868.9259866854223
13,6242,1,2,18.0,1.0,MISC,11911,95becd3dd647,226309,0,0,2,"[1.0, 18.0]",,0,0,2,"[0, 0]","['MISC', 'MISC']",12748.34817604333
14,6510,1,2,6.0,1.0,MISC,232,3f5d4699c3a6,1624,0,0,2,"[1.0, 6.0]",,0,0,2,"[40, 40, 0, 0, 0, 0, 0, 0]","['V100', 'V100', 'MISC', 'MISC', 'MISC', 'MISC', 'MISC', 'MISC']",243.73285984631048
15,8245,1,2,6.0,1.0,MISC,151,5b1345f03aa1,1057,0,0,2,"[1.0, 6.0]",,0,0,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['MISC', 'MISC', 'MISC', 'MISC', 'MISC', 'MISC', 'MISC', 'MISC', 'MISC', 'MISC']",159.7830565988862
16,8476,1,2,10.0,0.5,T4,507,c4cbaac9966d,5323,0,0,2,"[0.5, 10.0]",,0,0,2,"[2, 18, 12, 2, 2, 2]","['T4', 'T4', 'T4', 'T4', 'T4', 'T4']",523.1042689072947
17,8558,1,2,6.0,0.25,T4,1019,d4d51aca8806,6368,0,0,2,"[0.25, 6.0]",,0,0,2,"[12, 19, 18, 6]","['T4', 'T4', 'T4', 'T4']",1109.5817026888
18,8950,1,2,18.0,1.0,MISC,6846,c2a3a3121170,130074,0,0,2,"[1.0, 18.0]",,0,0,2,"[0, 0]","['MISC', 'MISC']",7367.479523537039
19,10854,1,2,6.0,1.0,T4,44,29380421d3fc,308,0,0,2,"[1.0, 6.0]",,0,0,2,"[26, 28, 2, 2, 12, 5, 42, 18]","['T4', 'T4', 'T4', 'T4', 'T4', 'T4', 'T4', 'T4']",46.70250099205832
20,12045,1,3,18.0,1.0,MISC,81,dc923a51ca33,1539,0,0,3,"[1.0, 18.0]",,0,0,3,"[18, 2, 12, 2, 2, 18]","['T4', 'T4', 'T4', 'T4', 'T4', 'T4']",87.42317662504337
21,12616,1,3,6.0,0.25,T4,145,d4d51aca8806,906,0,0,3,"[0.25, 6.0]",,0,0,3,"[6, 6, 12, 2, 2, 18, 18, 18]","['T4', 'T4', 'T4', 'T4', 'T4', 'T4', 'T4', 'T4']",152.02913445423883
22,13063,1,3,6.0,0.25,T4,14754,d4d51aca8806,92212,0,0,3,"[0.25, 6.0]",,0,0,3,"[18, 28, 28, 12]","['T4', 'T4', 'T4', 'T4']",15074.673924613538
23,15459,1,3,16.0,4.0,V100,5058,262fbc8b0c98,101160,0,0,3,"[4.0, 16.0]",,0,0,3,"[40, 40]","['V100', 'V100']",5447.1753304515
24,17154,1,3,6.0,0.25,MISC,3540,edc10645cc3f,22125,0,0,3,"[0.25, 6.0]",,0,0,3,"[40, 40, 40, 40, 40, 40, 40, 40, 40, 40]","['V100', 'V100', 'V100', 'V100', 'V100', 'V100', 'V100', 'V100', 'V100', 'V100']",3579.182437888027
25,17181,1,3,6.0,0.5,T4,1424,d4d51aca8806,9256,0,0,3,"[0.5, 6.0]",,0,0,3,"[28, 28, 28, 18]","['T4', 'T4', 'T4', 'T4']",1481.1016476107568
26,19637,1,3,6.0,0.5,T4,5805,d4d51aca8806,37732,0,0,3,"[0.5, 6.0]",,0,0,3,"[18, 28, 28, 2]","['T4', 'T4', 'T4', 'T4']",6016.387530371327
27,20206,1,3,6.0,1.0,MISC,6331,ebba56ec23b9,44317,0,0,3,"[1.0, 6.0]",,0,0,3,"[40, 40, 40, 40, 40, 40, 40, 40, 6, 18]","['V100', 'V100', 'V100', 'V100', 'V100', 'V100', 'V100', 'V100', 'T4', 'T4']",6551.758367901436
