,job_id,num_inst,submit_time,num_cpu,num_gpu,gpu_type,duration,user,size,on_time,wasted,jct,resource,node,allocated_at,bw,exec_time,final_node_allocation,final_gpu_allocation,deadline
1,216,1,1,6.0,1.0,MISC,41,05b25af4dd8b,287,0,0,1,"[1.0, 6.0]",,0,0,1,"[0, 0, 0, 0]","['MISC', 'MISC', 'MISC', 'MISC']",43.004056600594254
0,179,1,1,6.0,0.1,MISC,90,58540f191766,549,0,0,1,"[0.1, 6.0]",,0,0,1,"[0, 0, 0, 0]","['MISC', 'MISC', 'MISC', 'MISC']",97.6739544978385
5,5869,1,1,10.0,0.5,T4,220,c4cbaac9966d,2310,0,0,1,"[0.5, 10.0]",,0,0,1,"[2, 2, 2, 2]","['T4', 'T4', 'T4', 'T4']",232.9980637424637
9,9532,1,1,6.0,0.25,T4,224,d4d51aca8806,1400,0,0,1,"[0.25, 6.0]",,0,0,1,"[2, 2, 2, 2, 2, 2, 2, 2]","['T4', 'T4', 'T4', 'T4', 'T4', 'T4', 'T4', 'T4']",230.21160401195255
6,6754,1,1,6.0,1.0,P100,393,58540f191766,2751,0,0,1,"[1.0, 6.0]",,0,0,1,"[2, 2, 2, 2]","['T4', 'T4', 'T4', 'T4']",417.2063557392472
7,7759,1,1,10.0,0.5,T4,1001,c4cbaac9966d,10510,0,0,1,"[0.5, 10.0]",,0,0,1,"[12, 2, 12, 12]","['T4', 'T4', 'T4', 'T4']",1005.1814462161266
3,4347,1,1,2.0,1.0,MISC,3286,c677a0acf7c0,9858,0,0,1,"[1.0, 2.0]",,0,0,1,"[0, 0, 0, 0, 0, 0, 0, 0, 2, 18]","['MISC', 'MISC', 'MISC', 'MISC', 'MISC', 'MISC', 'MISC', 'MISC', 'T4', 'T4']",3320.679914889957
2,1436,1,1,6.0,0.1,MISC,5759,58540f191766,35129,0,0,1,"[0.1, 6.0]",,0,0,1,"[22, 22, 0, 0, 0, 0]","['MISC', 'MISC', 'MISC', 'MISC', 'MISC', 'MISC']",5840.35989303763
4,4570,1,1,6.0,1.0,MISC,8598,5b1345f03aa1,60186,0,0,1,"[1.0, 6.0]",,0,0,1,"[2, 26, 0, 0, 0, 0]","['T4', 'T4', 'MISC', 'MISC', 'MISC', 'MISC']",9235.826126865268
8,9084,1,1,18.0,1.0,P100,9821,c2a3a3121170,186599,0,0,1,"[1.0, 18.0]",,0,0,1,"[12, 18, 27, 29]","['T4', 'T4', 'T4', 'P100']",9914.018095068071
13,15105,1,2,0.5,3.0,V100,66,47baba33cffe,231,0,0,2,"[3.0, 0.5]",,0,0,2,"[21, 21]","['V100', 'V100']",72.62874482569556
11,9880,1,2,6.0,1.0,MISC,213,5f4cb64dc693,1491,0,0,2,"[1.0, 6.0]",,0,0,2,"[21, 21, 21, 0, 0, 0, 0, 0, 0, 7]","['V100', 'V100', 'V100', 'MISC', 'MISC', 'MISC', 'MISC', 'MISC', 'MISC', 'MISC']",226.95451984059247
12,10177,1,2,18.0,1.0,MISC,419,5f4cb64dc693,7961,0,0,2,"[1.0, 18.0]",,0,0,2,"[21, 21, 21, 21, 16, 16, 0, 0, 0, 0]","['V100', 'V100', 'V100', 'V100', 'MISC', 'MISC', 'MISC', 'MISC', 'MISC', 'MISC']",451.0012217814487
19,21734,1,2,6.0,0.25,T4,515,d4d51aca8806,3218,0,0,2,"[0.25, 6.0]",,0,0,2,"[26, 26, 26, 2, 26, 26, 12, 12, 12, 26]","['T4', 'T4', 'T4', 'T4', 'T4', 'T4', 'T4', 'T4', 'T4', 'T4']",525.2224547934098
14,16121,1,2,6.0,1.0,P100,998,0ed3eacdff35,6986,0,0,2,"[1.0, 6.0]",,0,0,2,"[29, 18, 29, 29]","['P100', 'T4', 'P100', 'P100']",1041.8680781319736
17,19929,1,2,6.0,1.0,P100,4481,ebba56ec23b9,31367,0,0,2,"[1.0, 6.0]",,0,0,2,"[15, 15, 46, 41, 18, 29]","['P100', 'P100', 'P100', 'P100', 'T4', 'P100']",4872.533473747314
10,9606,1,2,6.0,0.25,T4,4887,d4d51aca8806,30543,0,0,2,"[0.25, 6.0]",,0,0,2,"[28, 2, 27, 18, 12, 18, 27, 14, 14, 38]","['T4', 'T4', 'T4', 'T4', 'T4', 'T4', 'T4', 'T4', 'T4', 'T4']",5183.206552886725
16,19212,1,2,6.0,2.0,MISC,5979,5b1345f03aa1,47832,0,0,2,"[2.0, 6.0]",,0,0,2,"[0, 0, 0, 0, 0, 0, 0, 0]","['MISC', 'MISC', 'MISC', 'MISC', 'MISC', 'MISC', 'MISC', 'MISC']",6147.330224451113
18,20430,1,2,6.0,0.5,P100,8735,e92c26530fa7,56777,0,0,2,"[0.5, 6.0]",,0,0,2,"[37, 1]","['P100', 'P100']",9399.818235187853
15,18809,1,2,18.0,1.0,MISC,39346,eea150bdfdd6,747574,0,0,2,"[1.0, 18.0]",,0,0,2,"[0, 0, 0, 0, 21, 21, 21, 21]","['MISC', 'MISC', 'MISC', 'MISC', 'V100', 'V100', 'V100', 'V100']",41115.45791350845
23,25871,1,3,6.0,0.25,MISC,47,05b25af4dd8b,293,0,0,3,"[0.25, 6.0]",,0,0,3,"[21, 21, 0, 0, 0, 0, 0, 0, 0, 0]","['V100', 'V100', 'MISC', 'MISC', 'MISC', 'MISC', 'MISC', 'MISC', 'MISC', 'MISC']",53.58842240633066
