time_instant,node_0_initial_gpu,node_0_used_gpu,node_0_initial_cpu,node_0_used_cpu,node_0_initial_bw,node_0_used_bw,node_0_gpu_type,node_1_initial_gpu,node_1_used_gpu,node_1_initial_cpu,node_1_used_cpu,node_1_initial_bw,node_1_used_bw,node_1_gpu_type,node_2_initial_gpu,node_2_used_gpu,node_2_initial_cpu,node_2_used_cpu,node_2_initial_bw,node_2_used_bw,node_2_gpu_type,node_3_initial_gpu,node_3_used_gpu,node_3_initial_cpu,node_3_used_cpu,node_3_initial_bw,node_3_used_bw,node_3_gpu_type,node_4_initial_gpu,node_4_used_gpu,node_4_initial_cpu,node_4_used_cpu,node_4_initial_bw,node_4_used_bw,node_4_gpu_type,node_5_initial_gpu,node_5_used_gpu,node_5_initial_cpu,node_5_used_cpu,node_5_initial_bw,node_5_used_bw,node_5_gpu_type,node_6_initial_gpu,node_6_used_gpu,node_6_initial_cpu,node_6_used_cpu,node_6_initial_bw,node_6_used_bw,node_6_gpu_type,node_7_initial_gpu,node_7_used_gpu,node_7_initial_cpu,node_7_used_cpu,node_7_initial_bw,node_7_used_bw,node_7_gpu_type
0,8,0,96,0,100000000000,0,GPUType.MISC,8,0,96,0,100000000000,0,GPUType.MISC,8,0,96,0,100000000000,0,GPUType.MISC,8,0,96,0,100000000000,0,GPUType.MISC,8,0,96,0,100000000000,0,GPUType.MISC,8,0,96,0,100000000000,0,GPUType.MISC,8,0,96,0,100000000000,0,GPUType.MISC,8,0,96,0,100000000000,0,GPUType.MISC
1,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC
2,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC
3,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC
4,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC
5,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC
6,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC
7,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC
8,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC
9,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC
10,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC
11,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC
12,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC
13,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC
14,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC
15,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC
