job_id,submit_time,duration,jct,num_inst,gpu_type,num_cpu,num_gpu,size,wasted,resource,node,allocated_at,waiting_time,progress
76789,1,143,143,1,MISC,2.0,1.0,429,0,"[1.0, 2.0]",0,1,0,143.0
74879,3,64,64,1,MISC,18.0,1.0,1216,0,"[1.0, 18.0]",0,3,0,64.0
16748,5,103,103,1,MISC,6.0,0.25,643,0,"[0.25, 6.0]",0,5,0,25.75
5123,8,2802,2802,1,MISC,0.5,0.25,2101,0,"[0.25, 0.5]",0,8,0,700.5
53427,10,4288,4288,1,MISC,6.0,0.8,29158,0,"[0.8, 6.0]",0,10,0,3430.4
71051,11,23271,23271,1,MISC,0.2,0.05,5817,0,"[0.05, 0.2]",0,11,0,1163.55
16265,14,29923,29923,1,MISC,6.0,0.5,194499,0,"[0.5, 6.0]",0,14,0,14961.5
45106,16,2058,2058,1,MISC,6.0,0.1,12553,0,"[0.1, 6.0]",0,16,0,205.8
65654,31,4493,4493,1,MISC,6.0,0.25,28081,0,"[0.25, 6.0]",0,31,0,1123.25
45839,32,1706,1706,1,MISC,6.0,0.5,11089,0,"[0.5, 6.0]",0,32,0,853.0
51439,35,75,75,1,MISC,6.0,0.25,468,0,"[0.25, 6.0]",0,35,0,18.75
92696,37,11614,11614,1,MISC,0.2,0.1,3484,0,"[0.1, 0.2]",0,37,0,1161.4
39827,38,12299,12299,1,MISC,6.0,0.5,79943,0,"[0.5, 6.0]",0,38,0,6149.5
67316,42,946,946,1,MISC,20.0,1.0,19866,0,"[1.0, 20.0]",0,42,0,946.0
16852,46,35,35,1,MISC,6.0,1.0,245,0,"[1.0, 6.0]",0,46,0,35.0
9635,46,131,152,1,MISC,6.0,0.25,818,0,"[0.25, 6.0]",0,67,21,32.75
31601,66,258,259,1,MISC,6.0,1.0,1806,0,"[1.0, 6.0]",0,67,1,258.0
45434,58,9160,9169,1,MISC,6.0,0.1,55876,0,"[0.1, 6.0]",0,67,9,916.0
58436,72,551,560,1,MISC,6.0,0.25,3443,0,"[0.25, 6.0]",0,81,9,137.75
97428,107,2239,2239,1,MISC,0.2,0.1,671,0,"[0.1, 0.2]",0,107,0,223.9
42933,93,30,45,1,MISC,6.0,0.05,181,0,"[0.05, 6.0]",0,108,15,1.5
72113,85,38,63,1,MISC,6.0,0.25,237,0,"[0.25, 6.0]",0,110,25,9.5
28997,112,34,34,1,MISC,0.2,0.1,10,0,"[0.1, 0.2]",0,112,0,3.4000000000000004
20955,129,90,99,1,MISC,6.0,0.25,562,0,"[0.25, 6.0]",0,138,9,22.5
57520,104,40,84,1,MISC,6.0,1.0,280,0,"[1.0, 6.0]",0,148,44,40.0
50224,84,161,265,1,MISC,6.0,1.0,1127,0,"[1.0, 6.0]",0,188,104,161.0
14367,195,24,24,1,MISC,1.0,0.01,24,0,"[0.01, 1.0]",0,195,0,0.24
50774,89,218,327,1,MISC,6.0,1.0,1526,0,"[1.0, 6.0]",0,198,109,218.0
30937,139,668,757,1,MISC,4.0,0.25,2839,0,"[0.25, 4.0]",0,228,89,167.0
59262,244,1378,1378,1,MISC,0.5,0.25,1033,0,"[0.25, 0.5]",0,244,0,344.5
8698,289,27,63,1,MISC,6.0,0.25,168,0,"[0.25, 6.0]",0,325,36,6.75
6927,311,1062,1076,1,MISC,1.0,0.25,1327,0,"[0.25, 1.0]",0,325,14,265.5
64488,324,8514,8515,1,MISC,1.0,0.25,10642,0,"[0.25, 1.0]",0,325,1,2128.5
30745,323,35,61,1,MISC,6.0,1.0,245,0,"[1.0, 6.0]",0,349,26,35.0
11088,255,593,690,1,MISC,6.0,0.25,3706,0,"[0.25, 6.0]",0,352,97,148.25
37333,358,21046,21046,1,MISC,0.2,0.05,5261,0,"[0.05, 0.2]",0,358,0,1052.3
94879,373,32,43,1,MISC,6.0,1.0,224,0,"[1.0, 6.0]",0,384,11,32.0
33455,364,42,94,1,MISC,6.0,1.0,294,0,"[1.0, 6.0]",0,416,52,42.0
15383,200,62,278,1,MISC,6.0,1.0,434,0,"[1.0, 6.0]",0,416,216,62.0
43197,425,2713,2713,1,MISC,0.2,0.1,813,0,"[0.1, 0.2]",0,425,0,271.3
78308,452,20,26,1,MISC,6.0,0.05,121,0,"[0.05, 6.0]",0,458,6,1.0
85990,423,42,97,1,MISC,6.0,1.0,294,0,"[1.0, 6.0]",0,478,55,42.0
3476,474,63,67,1,MISC,6.0,0.25,393,0,"[0.25, 6.0]",0,478,4,15.75
56556,486,29,63,1,MISC,6.0,1.0,203,0,"[1.0, 6.0]",0,520,34,29.0
70836,505,32,68,1,MISC,6.0,1.0,224,0,"[1.0, 6.0]",0,541,36,32.0
34288,547,30,32,1,MISC,6.0,1.0,210,0,"[1.0, 6.0]",0,549,2,30.0
11024,452,63,184,1,MISC,6.0,0.25,393,0,"[0.25, 6.0]",0,573,121,15.75
96798,426,65,218,1,MISC,6.0,1.0,455,0,"[1.0, 6.0]",0,579,153,65.0
34192,618,72,86,1,MISC,6.0,1.0,504,0,"[1.0, 6.0]",0,632,14,72.0
11815,427,74,283,1,MISC,6.0,0.25,462,0,"[0.25, 6.0]",0,636,209,18.5
51307,637,55,62,1,MISC,6.0,1.0,385,0,"[1.0, 6.0]",0,644,7,55.0
44641,646,28,28,1,MISC,1.0,0.01,28,0,"[0.01, 1.0]",0,646,0,0.28
66197,666,70,103,1,MISC,6.0,1.0,490,0,"[1.0, 6.0]",0,699,33,70.0
80207,521,100,283,1,MISC,6.0,1.0,700,0,"[1.0, 6.0]",0,704,183,100.0
92014,423,109,396,1,MISC,6.0,0.25,681,0,"[0.25, 6.0]",0,710,287,27.25
34795,767,26,28,1,MISC,6.0,1.0,182,0,"[1.0, 6.0]",0,769,2,26.0
4958,775,27,47,1,MISC,0.2,0.1,8,0,"[0.1, 0.2]",0,795,20,2.7
25766,784,30,41,1,MISC,6.0,0.25,187,0,"[0.25, 6.0]",0,795,11,7.5
39126,771,945,969,1,MISC,0.2,0.1,283,0,"[0.1, 0.2]",0,795,24,94.5
79227,724,955,1026,1,MISC,1.0,0.25,1193,0,"[0.25, 1.0]",0,795,71,238.75
68984,776,31,59,1,MISC,6.0,0.25,193,0,"[0.25, 6.0]",0,804,28,7.75
59226,743,2237,2298,1,MISC,0.05,1.0,2348,0,"[1.0, 0.05]",0,804,61,2237.0
30807,771,75,123,1,MISC,6.0,0.1,457,0,"[0.1, 6.0]",0,819,48,7.5
24875,422,138,541,1,MISC,6.0,0.25,862,0,"[0.25, 6.0]",0,825,403,34.5
6065,701,288,422,1,MISC,6.0,0.5,1872,0,"[0.5, 6.0]",0,835,134,144.0
14372,847,40,87,1,MISC,1.0,0.01,40,0,"[0.01, 1.0]",0,894,47,0.4
73979,545,350,701,1,MISC,6.0,0.25,2187,0,"[0.25, 6.0]",0,896,351,87.5
78880,903,1097,1097,1,MISC,0.1,0.1,219,0,"[0.1, 0.1]",0,903,0,109.7
64448,915,33,33,1,MISC,1.0,0.01,33,0,"[0.01, 1.0]",0,915,0,0.33
22196,927,16168,16168,1,MISC,0.2,0.05,4042,0,"[0.05, 0.2]",0,927,0,808.4000000000001
37635,939,43,49,1,MISC,6.0,0.25,268,0,"[0.25, 6.0]",0,945,6,10.75
35324,525,365,803,1,MISC,6.0,0.25,2281,0,"[0.25, 6.0]",0,963,438,91.25
66082,557,18,449,1,MISC,18.0,1.0,342,0,"[1.0, 18.0]",0,988,431,18.0
72754,441,378,925,1,MISC,6.0,0.25,2362,0,"[0.25, 6.0]",0,988,547,94.5
3741,903,30,133,1,MISC,6.0,1.0,210,0,"[1.0, 6.0]",0,1006,103,30.0
76894,938,37,135,1,MISC,18.0,1.0,703,0,"[1.0, 18.0]",0,1036,98,37.0
17710,915,43,201,1,MISC,6.0,1.0,301,0,"[1.0, 6.0]",0,1073,158,43.0
33271,848,52,320,1,MISC,6.0,1.0,364,0,"[1.0, 6.0]",0,1116,268,52.0
93992,737,483,869,1,MISC,6.0,0.25,3018,0,"[0.25, 6.0]",0,1123,386,120.75
17017,669,500,954,1,MISC,6.0,0.25,3125,0,"[0.25, 6.0]",0,1123,454,125.0
82966,812,52,408,1,MISC,6.0,1.0,364,0,"[1.0, 6.0]",0,1168,356,52.0
39857,843,58,435,1,MISC,6.0,1.0,406,0,"[1.0, 6.0]",0,1220,377,58.0
53685,316,616,1546,1,MISC,6.0,0.25,3850,0,"[0.25, 6.0]",0,1246,930,154.0
33011,920,62,420,1,MISC,6.0,1.0,434,0,"[1.0, 6.0]",0,1278,358,62.0
76269,248,630,1710,1,MISC,6.0,0.25,3937,0,"[0.25, 6.0]",0,1328,1080,157.5
61072,890,63,513,1,MISC,18.0,1.0,1197,0,"[1.0, 18.0]",0,1340,450,63.0
53759,201,831,1996,1,MISC,6.0,0.25,5193,0,"[0.25, 6.0]",0,1366,1165,207.75
58746,868,9599,10118,1,MISC,1.0,0.25,11998,0,"[0.25, 1.0]",0,1387,519,2399.75
34692,825,84,662,1,MISC,6.0,1.0,588,0,"[1.0, 6.0]",0,1403,578,84.0
39817,878,84,693,1,MISC,6.0,1.0,588,0,"[1.0, 6.0]",0,1487,609,84.0
56135,772,84,883,1,MISC,6.0,1.0,588,0,"[1.0, 6.0]",0,1571,799,84.0
86032,669,1043,1980,1,MISC,12.0,0.1,12620,0,"[0.1, 12.0]",0,1606,937,104.30000000000001
26589,782,2392,3216,1,MISC,6.0,0.1,14591,0,"[0.1, 6.0]",0,1606,824,239.20000000000002
43813,728,572,1467,1,MISC,6.0,0.5,3718,0,"[0.5, 6.0]",0,1623,895,286.0
72342,855,129,929,1,MISC,6.0,1.0,903,0,"[1.0, 6.0]",0,1655,800,129.0
42302,323,628,2043,1,MISC,6.0,0.5,4082,0,"[0.5, 6.0]",0,1738,1415,314.0
70472,715,138,1207,1,MISC,6.0,1.0,966,0,"[1.0, 6.0]",0,1784,1069,138.0
76466,86,982,2758,1,MISC,6.0,0.5,6383,0,"[0.5, 6.0]",0,1862,1776,491.0
91617,422,152,1652,1,MISC,6.0,1.0,1064,0,"[1.0, 6.0]",0,1922,1500,152.0
80339,564,1055,2449,1,MISC,4.0,0.25,4483,0,"[0.25, 4.0]",0,1958,1394,263.75
82832,354,155,1875,1,MISC,6.0,1.0,1085,0,"[1.0, 6.0]",0,2074,1720,155.0
94793,534,1240,2780,1,MISC,6.0,0.25,7750,0,"[0.25, 6.0]",0,2074,1540,310.0
54105,536,1172,2831,1,MISC,6.0,0.5,7618,0,"[0.5, 6.0]",0,2195,1659,586.0
30287,168,2027,4056,1,MISC,6.0,0.25,12668,0,"[0.25, 6.0]",0,2197,2029,506.75
79937,258,168,2139,1,MISC,6.0,1.0,1176,0,"[1.0, 6.0]",0,2229,1971,168.0
62887,145,1254,3475,1,MISC,6.0,0.5,8151,0,"[0.5, 6.0]",0,2366,2221,627.0
83884,465,172,2104,1,MISC,6.0,1.0,1204,0,"[1.0, 6.0]",0,2397,1932,172.0
39386,546,179,2202,1,MISC,6.0,1.0,1253,0,"[1.0, 6.0]",0,2569,2023,179.0
19727,198,2342,4793,1,MISC,6.0,0.25,14637,0,"[0.25, 6.0]",0,2649,2451,585.5
45087,877,2654,4426,1,MISC,6.0,0.1,16189,0,"[0.1, 6.0]",0,2649,1772,265.40000000000003
51569,334,200,2614,1,MISC,6.0,1.0,1400,0,"[1.0, 6.0]",0,2748,2414,200.0
15836,383,1838,4299,1,MISC,6.0,0.5,11947,0,"[0.5, 6.0]",0,2844,2461,919.0
9314,728,219,2439,1,MISC,6.0,1.0,1533,0,"[1.0, 6.0]",0,2948,2220,219.0
13670,616,1869,4266,1,MISC,6.0,0.5,12148,0,"[0.5, 6.0]",0,3013,2397,934.5
55385,560,1577,4058,1,MISC,1.0,1.0,3154,0,"[1.0, 1.0]",0,3041,2481,1577.0
10623,663,226,2730,1,MISC,6.0,1.0,1582,0,"[1.0, 6.0]",0,3167,2504,226.0
54129,360,2384,5338,1,MISC,6.0,0.25,14900,0,"[0.25, 6.0]",0,3314,2954,596.0
55577,682,2010,4695,1,MISC,6.0,0.5,13065,0,"[0.5, 6.0]",0,3367,2685,1005.0
2101,164,286,3515,1,MISC,6.0,1.0,2002,0,"[1.0, 6.0]",0,3393,3229,286.0
75921,96,2138,5662,1,MISC,4.0,0.5,9621,0,"[0.5, 4.0]",0,3620,3524,1069.0
23457,919,308,3068,1,MISC,6.0,1.0,2156,0,"[1.0, 6.0]",0,3679,2760,308.0
46287,451,373,3909,1,MISC,6.0,1.0,2611,0,"[1.0, 6.0]",0,3987,3536,373.0
88963,736,3196,6458,1,MISC,6.0,0.1,19495,0,"[0.1, 6.0]",0,3998,3262,319.6
77684,206,2452,6470,1,MISC,6.0,0.25,15325,0,"[0.25, 6.0]",0,4224,4018,613.0
95342,665,2456,6089,1,MISC,5.0,0.5,13508,0,"[0.5, 5.0]",0,4298,3633,1228.0
76142,213,25446,29531,1,MISC,5.0,0.25,133591,0,"[0.25, 5.0]",0,4298,4085,6361.5
81846,106,373,4627,1,MISC,4.0,1.0,1865,0,"[1.0, 4.0]",0,4360,4254,373.0
14008,881,3061,6704,1,MISC,6.0,0.25,19131,0,"[0.25, 6.0]",0,4524,3643,765.25
56157,810,12227,16035,1,MISC,1.0,1.0,24454,0,"[1.0, 1.0]",0,4618,3808,12227.0
56815,396,2636,6922,1,MISC,6.0,0.5,17134,0,"[0.5, 6.0]",0,4682,4286,1318.0
17999,921,429,4241,1,MISC,6.0,1.0,3003,0,"[1.0, 6.0]",0,4733,3812,429.0
96586,737,3495,7640,1,MISC,6.0,0.25,21843,0,"[0.25, 6.0]",0,4882,4145,873.75
10882,126,4034,8899,1,MISC,6.0,0.1,24607,0,"[0.1, 6.0]",0,4991,4865,403.40000000000003
64947,368,435,5229,1,MISC,6.0,1.0,3045,0,"[1.0, 6.0]",0,5162,4794,435.0
96646,72,4079,9310,1,MISC,6.0,0.25,25493,0,"[0.25, 6.0]",0,5303,5231,1019.75
11319,673,4106,8810,1,MISC,6.0,0.1,25046,0,"[0.1, 6.0]",0,5377,4704,410.6
