job_id,submit_time,duration,jct,num_inst,gpu_type,num_cpu,num_gpu,size,wasted,resource,node,allocated_at,waiting_time,progress
76789,1,143,260,1,MISC,2.0,1.0,429,0,"[1.0, 2.0]",0,1,0,143.0
74879,3,64,164,1,MISC,18.0,1.0,1216,0,"[1.0, 18.0]",0,3,0,64.0
16748,5,103,205,1,MISC,6.0,0.25,643,0,"[0.25, 6.0]",0,5,0,25.75
5123,8,2802,5556,1,MISC,0.5,0.25,2101,0,"[0.25, 0.5]",0,8,0,700.5
53427,10,4288,19560,1,MISC,6.0,0.8,29158,0,"[0.8, 6.0]",0,10,0,3430.4
71051,11,23271,43940,1,MISC,0.2,0.05,5817,0,"[0.05, 0.2]",0,11,0,1163.55
16265,14,29923,49295,1,MISC,6.0,0.5,194499,0,"[0.5, 6.0]",0,14,0,14961.5
45106,16,2058,9357,1,MISC,6.0,0.1,12553,0,"[0.1, 6.0]",0,16,0,205.8
65654,31,4493,28948,1,MISC,6.0,0.25,28081,0,"[0.25, 6.0]",0,31,0,1123.25
45839,32,1706,11126,1,MISC,6.0,0.5,11089,0,"[0.5, 6.0]",0,32,0,853.0
51439,35,75,176,1,MISC,6.0,0.25,468,0,"[0.25, 6.0]",0,35,0,18.75
92696,37,11614,32370,1,MISC,0.2,0.1,3484,0,"[0.1, 0.2]",0,37,0,1161.4
39827,38,12299,28435,1,MISC,6.0,0.5,79943,0,"[0.5, 6.0]",0,38,0,6149.5
67316,42,946,24051,1,MISC,20.0,1.0,19866,0,"[1.0, 20.0]",0,42,0,946.0
9635,46,131,264,1,MISC,6.0,0.25,818,0,"[0.25, 6.0]",0,46,0,32.75
16852,46,35,35,1,MISC,6.0,1.0,245,0,"[1.0, 6.0]",0,46,0,35.0
82419,52,6400,39959,1,MISC,6.0,1.0,44800,0,"[1.0, 6.0]",0,52,0,6400.0
29833,57,50484,70026,1,MISC,8.0,1.0,454356,0,"[1.0, 8.0]",0,57,0,50484.0
45434,58,9160,24336,1,MISC,6.0,0.1,55876,0,"[0.1, 6.0]",0,58,0,916.0
70018,63,4113,30563,1,MISC,6.0,1.0,28791,0,"[1.0, 6.0]",0,63,0,4113.0
31601,66,258,540,1,MISC,6.0,1.0,1806,0,"[1.0, 6.0]",0,66,0,258.0
58436,72,551,17858,1,MISC,6.0,0.25,3443,0,"[0.25, 6.0]",0,72,0,137.75
96646,72,4079,41373,1,MISC,6.0,0.25,25493,0,"[0.25, 6.0]",0,72,0,1019.75
36639,75,4659,12745,1,MISC,6.0,0.5,30283,0,"[0.5, 6.0]",0,75,0,2329.5
50224,84,161,10288,1,MISC,6.0,1.0,1127,0,"[1.0, 6.0]",0,84,0,161.0
72113,85,38,38,1,MISC,6.0,0.25,237,0,"[0.25, 6.0]",0,85,0,9.5
76466,86,982,26437,1,MISC,6.0,0.5,6383,0,"[0.5, 6.0]",0,86,0,491.0
50774,89,218,10439,1,MISC,6.0,1.0,1526,0,"[1.0, 6.0]",0,89,0,218.0
42933,93,30,30,1,MISC,6.0,0.05,181,0,"[0.05, 6.0]",0,93,0,1.5
75921,96,2138,25780,1,MISC,4.0,0.5,9621,0,"[0.5, 4.0]",0,96,0,1069.0
57427,102,32395,60137,1,MISC,6.0,0.2,200849,0,"[0.2, 6.0]",0,102,0,6479.0
57520,104,40,40,1,MISC,6.0,1.0,280,0,"[1.0, 6.0]",0,104,0,40.0
81846,106,373,26374,1,MISC,4.0,1.0,1865,0,"[1.0, 4.0]",0,106,0,373.0
97428,107,2239,21668,1,MISC,0.2,0.1,671,0,"[0.1, 0.2]",0,107,0,223.9
28997,112,34,34,1,MISC,0.2,0.1,10,0,"[0.1, 0.2]",0,112,0,3.4000000000000004
10882,126,4034,8122,1,MISC,6.0,0.1,24607,0,"[0.1, 6.0]",0,126,0,403.40000000000003
41455,127,4859,11732,1,MISC,6.0,0.1,29639,0,"[0.1, 6.0]",0,127,0,485.90000000000003
20955,129,90,239,1,MISC,6.0,0.25,562,0,"[0.25, 6.0]",0,129,0,22.5
93702,130,7691,44093,1,MISC,6.0,1.0,53837,0,"[1.0, 6.0]",0,130,0,7691.0
30937,139,668,1541,1,MISC,4.0,0.25,2839,0,"[0.25, 4.0]",0,139,0,167.0
62887,145,1254,19835,1,MISC,6.0,0.5,8151,0,"[0.5, 6.0]",0,145,0,627.0
26420,153,4411,8888,1,MISC,6.0,0.1,26907,0,"[0.1, 6.0]",0,153,0,441.1
24199,155,5628,11519,1,MISC,18.0,1.0,106932,0,"[1.0, 18.0]",0,155,0,5628.0
2101,164,286,644,1,MISC,6.0,1.0,2002,0,"[1.0, 6.0]",0,164,0,286.0
48272,167,2170,16883,1,MISC,40.0,0.5,87885,0,"[0.5, 40.0]",0,167,0,1085.0
30287,168,2027,4133,1,MISC,6.0,0.25,12668,0,"[0.25, 6.0]",0,168,0,506.75
70539,169,5634,34061,1,MISC,18.0,1.0,107046,0,"[1.0, 18.0]",0,169,0,5634.0
62329,188,699,20418,1,MISC,6.0,1.0,4893,0,"[1.0, 6.0]",0,188,0,699.0
14367,195,24,30,1,MISC,1.0,0.01,24,0,"[0.01, 1.0]",0,195,0,0.24
19727,198,2342,4769,1,MISC,6.0,0.25,14637,0,"[0.25, 6.0]",0,198,0,585.5
15383,200,62,211,1,MISC,6.0,1.0,434,0,"[1.0, 6.0]",0,200,0,62.0
4591,201,6791,13668,1,MISC,6.0,1.0,47537,0,"[1.0, 6.0]",0,201,0,6791.0
53759,201,831,13415,1,MISC,6.0,0.25,5193,0,"[0.25, 6.0]",0,201,0,207.75
77684,206,2452,30073,1,MISC,6.0,0.25,15325,0,"[0.25, 6.0]",0,206,0,613.0
76142,213,25446,56982,1,MISC,5.0,0.25,133591,0,"[0.25, 5.0]",0,213,0,6361.5
87073,218,177,32059,1,MISC,18.0,1.0,3363,0,"[1.0, 18.0]",0,218,0,177.0
18725,220,515,1125,1,MISC,6.0,1.0,3605,0,"[1.0, 6.0]",0,220,0,515.0
59262,244,1378,6036,1,MISC,0.5,0.25,1033,0,"[0.25, 0.5]",0,244,0,344.5
76269,248,630,25591,1,MISC,6.0,0.25,3937,0,"[0.25, 6.0]",0,248,0,157.5
11088,255,593,1282,1,MISC,6.0,0.25,3706,0,"[0.25, 6.0]",0,255,0,148.25
79937,258,168,26629,1,MISC,6.0,1.0,1176,0,"[1.0, 6.0]",0,258,0,168.0
44122,260,7318,21265,1,MISC,18.0,1.0,139042,0,"[1.0, 18.0]",0,260,0,7318.0
36729,288,4647,12904,1,MISC,6.0,0.5,30205,0,"[0.5, 6.0]",0,288,0,2323.5
8698,289,27,151,1,MISC,6.0,0.25,168,0,"[0.25, 6.0]",0,289,0,6.75
49505,294,12502,33985,1,MISC,6.0,0.25,78137,0,"[0.25, 6.0]",0,294,0,3125.5
1770,310,6366,12828,1,MISC,6.0,0.1,38832,0,"[0.1, 6.0]",0,310,0,636.6
6927,311,1062,2215,1,MISC,1.0,0.25,1327,0,"[0.25, 1.0]",0,311,0,265.5
64117,299,1154,22613,1,MISC,18.0,1.0,21926,0,"[1.0, 18.0]",0,311,12,1154.0
53685,316,616,12060,1,MISC,6.0,0.25,3850,0,"[0.25, 6.0]",0,316,0,154.0
35238,319,1841,4966,1,MISC,6.0,1.0,12887,0,"[1.0, 6.0]",0,319,0,1841.0
30745,323,35,167,1,MISC,6.0,1.0,245,0,"[1.0, 6.0]",0,323,0,35.0
42302,323,628,6670,1,MISC,6.0,0.5,4082,0,"[0.5, 6.0]",0,323,0,314.0
64488,324,8514,27285,1,MISC,1.0,0.25,10642,0,"[0.25, 1.0]",0,326,2,2128.5
37333,358,21046,38566,1,MISC,0.2,0.05,5261,0,"[0.05, 0.2]",0,358,0,1052.3
51569,334,200,10700,1,MISC,6.0,1.0,1400,0,"[1.0, 6.0]",0,359,25,200.0
54129,360,2384,17127,1,MISC,6.0,0.25,14900,0,"[0.25, 6.0]",0,363,3,596.0
33455,364,42,181,1,MISC,6.0,1.0,294,0,"[1.0, 6.0]",0,364,0,42.0
40350,371,49,5710,1,MISC,6.0,2.0,392,0,"[2.0, 6.0]",0,371,0,98.0
15836,383,1838,3773,1,MISC,6.0,0.5,11947,0,"[0.5, 6.0]",0,383,0,919.0
48473,410,6389,22029,1,MISC,6.0,1.0,44723,0,"[1.0, 6.0]",0,410,0,6389.0
30826,416,1406,3290,1,MISC,6.0,1.0,9842,0,"[1.0, 6.0]",0,416,0,1406.0
24875,422,138,373,1,MISC,6.0,0.25,862,0,"[0.25, 6.0]",0,422,0,34.5
43197,425,2713,6101,1,MISC,0.2,0.1,813,0,"[0.1, 0.2]",0,425,0,271.3
11815,427,74,245,1,MISC,6.0,0.25,462,0,"[0.25, 6.0]",0,427,0,18.5
11024,452,63,223,1,MISC,6.0,0.25,393,0,"[0.25, 6.0]",0,452,0,15.75
46287,451,373,9273,1,MISC,6.0,1.0,2611,0,"[1.0, 6.0]",0,452,1,373.0
3476,474,63,223,1,MISC,6.0,0.25,393,0,"[0.25, 6.0]",0,474,0,15.75
78308,452,20,150,1,MISC,6.0,0.05,121,0,"[0.05, 6.0]",0,476,24,1.0
63575,479,10106,35995,1,MISC,6.0,0.1,61646,0,"[0.1, 6.0]",0,480,1,1010.6
35324,525,365,3739,1,MISC,6.0,0.25,2281,0,"[0.25, 6.0]",0,525,0,91.25
