job_id,submit_time,duration,jct,num_inst,gpu_type,num_cpu,num_gpu,size,wasted,resource,node,allocated_at,waiting_time,progress
216,0,41,-1,1,MISC,6.0,1.0,287,0,"[1.0, 6.0]",0,0,0,11.0
179,0,90,-1,1,MISC,6.0,0.1,549,0,"[0.1, 6.0]",0,0,0,1.1
5869,0,220,-1,1,T4,10.0,0.5,2310,0,"[0.5, 10.0]",0,0,0,5.5
9532,0,224,-1,1,T4,6.0,0.25,1400,0,"[0.25, 6.0]",0,0,0,2.75
6754,0,393,-1,1,P100,6.0,1.0,2751,0,"[1.0, 6.0]",0,0,0,11.0
7759,0,1001,-1,1,T4,10.0,0.5,10510,0,"[0.5, 10.0]",0,0,0,5.5
4347,0,3286,-1,1,MISC,2.0,1.0,9858,0,"[1.0, 2.0]",0,0,0,11.0
1436,0,5759,-1,1,MISC,6.0,0.1,35129,0,"[0.1, 6.0]",0,0,0,1.1
4570,0,8598,-1,1,MISC,6.0,1.0,60186,0,"[1.0, 6.0]",0,0,0,11.0
9084,0,9821,-1,1,P100,18.0,1.0,186599,0,"[1.0, 18.0]",0,0,0,11.0
15105,1,66,-1,1,V100,0.5,3.0,231,0,"[3.0, 0.5]",47,1,0,30.0
9880,1,213,-1,1,MISC,6.0,1.0,1491,0,"[1.0, 6.0]",0,1,0,10.0
10177,1,419,-1,1,MISC,18.0,1.0,7961,0,"[1.0, 18.0]",1,1,0,10.0
21734,1,515,-1,1,T4,6.0,0.25,3218,0,"[0.25, 6.0]",0,1,0,2.5
16121,1,998,-1,1,P100,6.0,1.0,6986,0,"[1.0, 6.0]",1,1,0,10.0
19929,1,4481,-1,1,P100,6.0,1.0,31367,0,"[1.0, 6.0]",1,1,0,10.0
9606,1,4887,-1,1,T4,6.0,0.25,30543,0,"[0.25, 6.0]",0,1,0,2.5
19212,1,5979,-1,1,MISC,6.0,2.0,47832,0,"[2.0, 6.0]",1,1,0,20.0
20430,1,8735,-1,1,P100,6.0,0.5,56777,0,"[0.5, 6.0]",1,1,0,5.0
18809,1,39346,-1,1,MISC,18.0,1.0,747574,0,"[1.0, 18.0]",1,1,0,10.0
25871,2,47,-1,1,MISC,6.0,0.25,293,0,"[0.25, 6.0]",1,2,0,2.25
30994,2,71,-1,1,T4,6.0,0.5,461,0,"[0.5, 6.0]",1,2,0,4.5
30115,2,77,-1,1,MISC,6.0,0.05,465,0,"[0.05, 6.0]",1,2,0,0.45
30876,2,223,-1,1,MISC,4.0,0.5,1003,0,"[0.5, 4.0]",1,2,0,4.5
27191,2,267,-1,1,T4,6.0,1.0,1869,0,"[1.0, 6.0]",2,2,0,9.0
27505,2,325,-1,1,MISC,6.0,0.5,2112,0,"[0.5, 6.0]",2,2,0,4.5
22462,2,1357,-1,1,T4,6.0,0.25,8481,0,"[0.25, 6.0]",2,2,0,2.25
24358,2,4424,-1,1,T4,6.0,0.25,27650,0,"[0.25, 6.0]",2,2,0,2.25
30590,2,10014,-1,1,MISC,6.0,1.0,70098,0,"[1.0, 6.0]",2,2,0,9.0
24464,2,22379,-1,1,T4,6.0,0.5,145463,0,"[0.5, 6.0]",2,2,0,4.5
34945,3,25,-1,1,MISC,6.0,1.0,175,0,"[1.0, 6.0]",2,3,0,8.0
39682,3,30,-1,1,MISC,6.0,1.0,210,0,"[1.0, 6.0]",2,3,0,8.0
34619,3,37,-1,1,MISC,6.0,1.0,259,0,"[1.0, 6.0]",2,3,0,8.0
39883,3,39,-1,1,MISC,6.0,1.0,273,0,"[1.0, 6.0]",2,3,0,8.0
32054,3,369,-1,1,T4,10.0,0.5,3874,0,"[0.5, 10.0]",2,3,0,4.0
32391,3,2378,-1,1,T4,6.0,0.25,14862,0,"[0.25, 6.0]",3,3,0,2.0
31560,3,7034,-1,1,MISC,6.0,0.1,42907,0,"[0.1, 6.0]",1,3,0,0.8
35268,3,7588,-1,1,MISC,6.0,1.0,53116,0,"[1.0, 6.0]",3,3,0,8.0
31126,3,22320,-1,1,MISC,6.0,0.2,138384,0,"[0.2, 6.0]",3,3,0,1.6
32484,3,46957,-1,1,MISC,6.0,0.5,305220,0,"[0.5, 6.0]",3,3,0,4.0
43080,4,29,-1,1,MISC,6.0,0.25,181,0,"[0.25, 6.0]",3,4,0,1.75
50973,4,45,-1,1,T4,6.0,1.0,315,0,"[1.0, 6.0]",3,4,0,7.0
45374,4,59,-1,1,MISC,6.0,0.5,383,0,"[0.5, 6.0]",3,4,0,3.5
41833,4,187,-1,1,MISC,6.0,0.5,1215,0,"[0.5, 6.0]",3,4,0,3.5
41138,4,286,-1,1,T4,6.0,1.0,2002,0,"[1.0, 6.0]",3,4,0,7.0
50819,4,511,-1,1,MISC,6.0,0.25,3193,0,"[0.25, 6.0]",3,4,0,1.75
41567,4,572,-1,1,MISC,2.0,1.0,1716,0,"[1.0, 2.0]",3,4,0,7.0
47129,4,777,-1,1,MISC,4.0,0.5,3496,0,"[0.5, 4.0]",3,4,0,3.5
50925,4,3604,-1,1,T4,6.0,0.5,23426,0,"[0.5, 6.0]",3,4,0,3.5
40172,4,5164,-1,1,MISC,6.0,0.25,32275,0,"[0.25, 6.0]",3,4,0,1.75
54648,5,64,-1,1,MISC,6.0,0.5,416,0,"[0.5, 6.0]",4,5,0,3.0
51144,5,249,-1,1,MISC,2.0,0.25,560,0,"[0.25, 2.0]",3,5,0,1.5
53424,5,570,-1,1,T4,10.0,0.5,5985,0,"[0.5, 10.0]",4,5,0,3.0
54570,5,798,-1,1,MISC,2.0,0.25,1795,0,"[0.25, 2.0]",4,5,0,1.5
55644,5,4670,-1,1,MISC,6.0,0.25,29187,0,"[0.25, 6.0]",4,5,0,1.5
54200,5,8233,-1,1,P100,32.0,1.0,271689,0,"[1.0, 32.0]",4,5,0,6.0
52649,5,8860,-1,1,MISC,18.0,1.0,168340,0,"[1.0, 18.0]",4,5,0,6.0
53099,5,25615,-1,1,MISC,6.0,1.0,179305,0,"[1.0, 6.0]",4,5,0,6.0
53430,5,63359,-1,1,MISC,5.0,0.5,348474,0,"[0.5, 5.0]",4,5,0,3.0
54586,5,77046,-1,1,MISC,6.0,0.25,481537,0,"[0.25, 6.0]",4,5,0,1.5
57991,6,24,-1,1,T4,6.0,0.25,150,0,"[0.25, 6.0]",5,6,0,1.25
57255,6,33,-1,1,P100,6.0,1.0,231,0,"[1.0, 6.0]",5,6,0,5.0
55664,6,52,-1,1,MISC,6.0,1.0,364,0,"[1.0, 6.0]",5,6,0,5.0
55755,6,108,-1,1,MISC,6.0,1.0,756,0,"[1.0, 6.0]",5,6,0,5.0
60594,6,810,-1,1,MISC,6.0,1.0,5670,0,"[1.0, 6.0]",5,6,0,5.0
63889,6,964,-1,1,MISC,6.0,1.0,6748,0,"[1.0, 6.0]",5,6,0,5.0
55777,6,1201,-1,1,MISC,6.0,1.0,8407,0,"[1.0, 6.0]",5,6,0,5.0
63303,6,1901,-1,1,MISC,6.0,0.5,12356,0,"[0.5, 6.0]",5,6,0,2.5
58419,6,15852,-1,1,T4,6.0,0.5,103038,0,"[0.5, 6.0]",5,6,0,2.5
63915,6,20885,-1,1,T4,6.0,1.0,146195,0,"[1.0, 6.0]",6,6,0,5.0
78216,7,61,-1,1,MISC,6.0,1.0,427,0,"[1.0, 6.0]",6,7,0,4.0
79020,7,75,-1,1,P100,6.0,0.1,457,0,"[0.1, 6.0]",5,7,0,0.4
79636,7,174,-1,1,MISC,6.0,2.0,1392,0,"[2.0, 6.0]",6,7,0,8.0
