,job_id,num_inst,submit_time,num_cpu,num_gpu,gpu_type,duration,user,size,on_time,wasted,jct,resource,node,allocated_at,bw,exec_time,final_node_allocation,final_gpu_allocation,deadline
0,30544,1,11,5.0,0.25,MISC,622,6fb93540c8aa,3265,0,0,11,"[0.25, 5.0]",,0,0,11,[0],['MISC'],679.1244410850617
1,90775,1,15,6.0,1.0,MISC,71,05b25af4dd8b,497,0,0,15,"[1.0, 6.0]",,0,0,15,[3],['MISC'],87.7387321620047
2,35666,1,22,6.0,2.0,MISC,190,f14128db0160,1520,0,0,22,"[2.0, 6.0]",,0,0,22,[7],['MISC'],214.65122064197774
3,55478,1,26,18.0,1.0,MISC,1511,05b25af4dd8b,28709,0,0,26,"[1.0, 18.0]",,0,0,26,[8],['MISC'],1552.4870211195146
4,29619,1,41,10.0,1.0,MISC,2250,c677a0acf7c0,24750,0,0,41,"[1.0, 10.0]",,0,0,41,[10],['MISC'],2457.650242550227
5,94648,1,46,6.0,1.0,MISC,195,18febf35d3a1,1365,0,0,46,"[1.0, 6.0]",,0,0,46,[16],['MISC'],251.63464740809283
6,7681,1,54,6.0,1.0,T4,24,0ed3eacdff35,168,0,0,54,"[1.0, 6.0]",,0,0,54,[2],['T4'],79.4171820298777
7,58048,1,57,6.0,1.0,T4,24,0ed3eacdff35,168,0,0,57,"[1.0, 6.0]",,0,0,57,[4],['T4'],81.07627843075628
8,51954,1,58,6.0,1.0,T4,336,1480b75a8c96,2352,0,0,58,"[1.0, 6.0]",,0,0,58,[5],['T4'],397.14816005934955
9,67004,1,59,6.0,0.25,MISC,1371,58540f191766,8568,0,0,59,"[0.25, 6.0]",,0,0,59,[21],['V100'],1461.8978084838704
10,87304,1,60,0.2,0.1,MISC,3282,58540f191766,984,0,0,60,"[0.1, 0.2]",,0,0,60,[22],['MISC'],3539.5825468742037
11,83736,1,64,6.0,0.5,V100,6569,58540f191766,42698,0,0,64,"[0.5, 6.0]",,0,0,64,[32],['V100'],7001.681881844375
12,82791,1,66,6.0,0.25,MISC,310,8cfd63627f23,1937,0,0,66,"[0.25, 6.0]",,0,0,66,[31],['MISC'],398.1966080005945
13,36285,1,70,4.0,1.0,T4,13925,205ccfa32cac,69625,0,0,70,"[1.0, 4.0]",,0,0,70,[6],['T4'],14971.595025724404
14,62076,1,80,6.0,1.0,T4,236,c5307d7cd0cc,1652,0,0,80,"[1.0, 6.0]",,0,0,80,[2],['T4'],325.90066777469514
15,861,1,81,6.0,0.1,MISC,2748,58540f191766,16762,0,0,81,"[0.1, 6.0]",,0,0,81,[35],['MISC'],2952.442645918803
16,38257,1,82,18.0,1.0,MISC,17668,c2a3a3121170,335692,0,0,82,"[1.0, 18.0]",,0,0,82,[40],['V100'],18241.507343301935
17,98938,1,83,6.0,1.0,MISC,717,5b1345f03aa1,5019,0,0,83,"[1.0, 6.0]",,0,0,83,[45],['MISC'],862.3288330008534
18,56750,1,89,0.5,1.0,T4,3399,d4d51aca8806,5098,0,0,89,"[1.0, 0.5]",,0,0,89,[4],['T4'],3745.9186240874083
19,77733,1,106,16.0,0.5,MISC,634,2a584cff5de0,10461,0,0,106,"[0.5, 16.0]",,0,0,106,[3],['MISC'],750.1224006582949
20,58536,1,115,0.5,0.25,MISC,1854,b2c52019b2c6,1390,0,0,115,"[0.25, 0.5]",,0,0,115,[22],['MISC'],2047.3527094176593
22,79647,1,129,2.0,0.2,MISC,651,8deed0d477b8,1432,0,0,129,"[0.2, 2.0]",,0,0,129,[35],['MISC'],794.0169259132041
21,18855,1,129,6.0,1.0,P100,5222,d7052eeddab7,36554,0,0,129,"[1.0, 6.0]",,0,0,129,[1],['P100'],5496.1044146209315
23,55712,1,133,6.0,1.0,MISC,622,5b1345f03aa1,4354,0,0,133,"[1.0, 6.0]",,0,0,133,[0],['MISC'],802.4893348242058
24,51240,1,134,6.0,1.0,T4,104,c9e676ebc7ef,728,0,0,134,"[1.0, 6.0]",,0,0,134,[12],['T4'],239.06298687580642
25,86775,1,136,18.0,1.0,MISC,173,0db4ac3f62ed,3287,0,0,136,"[1.0, 18.0]",,0,0,136,[21],['V100'],315.5727423010259
27,68932,1,152,6.0,1.0,P100,365,58540f191766,2555,0,0,152,"[1.0, 6.0]",,0,0,152,[9],['P100'],529.5543838704824
26,32110,1,152,6.0,0.1,MISC,1920,58540f191766,11712,0,0,152,"[0.1, 6.0]",,0,0,152,[31],['MISC'],2140.9240410530483
28,87254,1,157,18.0,1.0,MISC,543,eea150bdfdd6,10317,0,0,157,"[1.0, 18.0]",,0,0,157,[35],['MISC'],714.3634830901553
29,82786,1,164,6.0,0.25,T4,137,c9e676ebc7ef,856,0,0,164,"[0.25, 6.0]",,0,0,164,[14],['T4'],301.59527106804643
30,49844,1,167,6.0,1.0,MISC,40,a8192d6b0ae9,280,0,0,167,"[1.0, 6.0]",,0,0,167,[22],['MISC'],208.83769951868737
31,47073,1,173,6.0,0.5,T4,208,d4d51aca8806,1352,0,0,173,"[0.5, 6.0]",,0,0,173,[18],['T4'],383.59638418734676
32,65211,1,173,6.0,0.25,MISC,78837,c677a0acf7c0,492731,0,0,173,"[0.25, 6.0]",,0,0,173,[31],['MISC'],86281.1000244584
33,54833,1,176,6.0,1.0,MISC,2110,7b76597f4283,14770,0,0,176,"[1.0, 6.0]",,0,0,176,[3],['MISC'],2302.626841794555
34,1263,1,181,6.0,0.25,T4,505,d4d51aca8806,3156,0,0,181,"[0.25, 6.0]",,0,0,181,[19],['T4'],700.8055032110582
35,9599,1,182,6.0,1.0,T4,6155,ad65dadf77c0,43085,0,0,182,"[1.0, 6.0]",,0,0,182,[26],['T4'],6723.9277965888305
36,83810,1,184,6.0,0.25,MISC,505,05b25af4dd8b,3156,0,0,184,"[0.25, 6.0]",,0,0,184,[32],['V100'],733.7153132708088
37,23484,1,191,6.0,1.0,T4,44,29380421d3fc,308,0,0,191,"[1.0, 6.0]",,0,0,191,[27],['T4'],236.5911941151347
38,31495,1,192,16.0,1.0,T4,3985,8d8cb36a6118,67745,0,0,192,"[1.0, 16.0]",,0,0,192,[28],['T4'],4253.627003217279
39,90322,1,196,18.0,1.0,MISC,61,0db4ac3f62ed,1159,0,0,196,"[1.0, 18.0]",,0,0,196,[31],['MISC'],257.4242864078248
40,27134,1,202,5.0,0.5,P100,65704,6c545bed7d03,361372,0,0,202,"[0.5, 5.0]",,0,0,202,[11],['P100'],70250.76450831728
41,87268,1,230,18.0,1.0,MISC,113,0db4ac3f62ed,2147,0,0,230,"[1.0, 18.0]",,0,0,230,[7],['MISC'],351.7356722509122
42,97219,1,231,6.0,0.5,MISC,826,58540f191766,5369,0,0,231,"[0.5, 6.0]",,0,0,231,[22],['MISC'],1138.3792976065786
43,91088,1,232,6.0,0.25,MISC,12420,de69ddc1064e,77625,0,0,232,"[0.25, 6.0]",,0,0,232,[32],['V100'],13714.304609500814
45,85781,1,235,6.0,0.5,MISC,755,8cfd63627f23,4907,0,0,235,"[0.5, 6.0]",,0,0,235,[22],['MISC'],1018.699529990457
44,3335,1,235,6.0,0.5,T4,4082,d4d51aca8806,26533,0,0,235,"[0.5, 6.0]",,0,0,235,[30],['T4'],4670.6986327695
46,86241,1,236,6.0,1.0,MISC,421,18febf35d3a1,2947,0,0,236,"[1.0, 6.0]",,0,0,236,[7],['MISC'],676.0885737297111
47,92137,1,237,6.0,2.0,T4,15,45bd92802aa9,120,0,0,237,"[2.0, 6.0]",,0,0,237,[27],['T4'],253.25116563996113
48,93524,1,243,6.0,1.0,P100,13772,b3bfe9b79bb5,96404,0,0,243,"[1.0, 6.0]",,0,0,243,[12],['T4'],14239.00722260336
49,39690,1,245,6.0,1.0,MISC,63,0ed3eacdff35,441,0,0,245,"[1.0, 6.0]",,0,0,245,[16],['MISC'],310.2382054114334
50,65034,1,253,6.0,0.25,T4,2145,d4d51aca8806,13406,0,0,253,"[0.25, 6.0]",,0,0,253,[27],['T4'],2541.7525749040155
51,61788,1,261,6.0,1.0,MISC,52,42aa9724a88c,364,0,0,261,"[1.0, 6.0]",,0,0,261,[31],['MISC'],316.6494656299845
52,80494,1,279,6.0,0.25,MISC,4941,de69ddc1064e,30881,0,0,279,"[0.25, 6.0]",,0,0,279,[8],['MISC'],5557.740901541668
53,14383,1,283,6.0,0.5,MISC,294,ba85cca2ba13,1911,0,0,283,"[0.5, 6.0]",,0,0,283,[10],['MISC'],579.0992337816093
54,85186,1,283,18.0,1.0,P100,15715,c2a3a3121170,298585,0,0,283,"[1.0, 18.0]",,0,0,283,[13],['P100'],16995.86837990168
55,25137,1,284,6.0,0.25,T4,675,bbd5a1434ac7,4218,0,0,284,"[0.25, 6.0]",,0,0,284,[38],['T4'],995.0544416995053
56,65828,1,289,6.0,0.25,MISC,3817,f5440bdf32a5,23856,0,0,289,"[0.25, 6.0]",,0,0,289,[16],['MISC'],4199.4443301303
58,54259,1,290,6.0,1.0,MISC,58,0fe7087caa8a,406,0,0,290,"[1.0, 6.0]",,0,0,290,[32],['V100'],349.5656973953488
57,62600,1,290,6.0,0.5,MISC,873,58540f191766,5674,0,0,290,"[0.5, 6.0]",,0,0,290,[40],['V100'],1203.3553164946024
59,51978,1,294,6.0,1.0,MISC,26,354e3b81c515,182,0,0,294,"[1.0, 6.0]",,0,0,294,[45],['MISC'],322.40601706701517
60,46927,1,295,6.0,0.25,MISC,59087,58540f191766,369293,0,0,295,"[0.25, 6.0]",,0,0,295,[0],['MISC'],63448.142563794914
61,24919,1,299,16.0,2.0,MISC,92854,5b1345f03aa1,1671372,0,0,299,"[2.0, 16.0]",,0,0,299,[8],['MISC'],95192.21473638354
62,18936,1,300,10.0,0.5,T4,688,c4cbaac9966d,7224,0,0,300,"[0.5, 10.0]",,0,0,300,[42],['T4'],1010.3106521277741
63,25090,1,309,18.0,1.0,MISC,262,bb2156e6bf03,4978,0,0,309,"[1.0, 18.0]",,0,0,309,[16],['MISC'],591.1298157329202
64,52695,1,311,18.0,1.0,P100,9563,c2a3a3121170,181697,0,0,311,"[1.0, 18.0]",,0,0,311,[14],['T4'],9927.493459241381
65,29461,1,316,6.0,0.5,T4,2551,49287aeb3803,16581,0,0,316,"[0.5, 6.0]",,0,0,316,[44],['T4'],3076.641841731137
66,99735,1,318,18.0,1.0,P100,193,4834d97c36e5,3667,0,0,318,"[1.0, 18.0]",,0,0,318,[2],['T4'],526.5373839548845
67,10549,1,320,6.0,0.25,T4,939,d4d51aca8806,5868,0,0,320,"[0.25, 6.0]",,0,0,320,[47],['T4'],1296.6693735013964
68,42003,1,323,6.0,0.1,MISC,3003,58540f191766,18318,0,0,323,"[0.1, 6.0]",,0,0,323,[21],['V100'],3345.876438145028
69,50766,1,334,6.0,1.0,P100,33,a8192d6b0ae9,231,0,0,334,"[1.0, 6.0]",,0,0,334,[15],['P100'],370.0133492098123
70,67627,1,339,6.0,1.0,MISC,66,0ed3eacdff35,462,0,0,339,"[1.0, 6.0]",,0,0,339,[21],['V100'],408.7433883397581
71,13222,1,346,6.0,0.25,T4,16180,d4d51aca8806,101125,0,0,346,"[0.25, 6.0]",,0,0,346,[48],['T4'],17687.585290023304
72,55197,1,348,6.0,0.1,MISC,5315,58540f191766,32421,0,0,348,"[0.1, 6.0]",,0,0,348,[31],['MISC'],5776.011008164775
73,22737,1,359,6.0,0.25,T4,504,d4d51aca8806,3150,0,0,359,"[0.25, 6.0]",,0,0,359,[49],['T4'],888.1612554784108
74,97523,1,359,6.0,0.5,T4,31553,9cc55781f4a6,205094,0,0,359,"[0.5, 6.0]",,0,0,359,[19],['T4'],34703.440755458716
75,23880,1,372,6.0,0.2,MISC,1727,edc10645cc3f,10707,0,0,372,"[0.2, 6.0]",,0,0,372,[31],['MISC'],2210.0205179836134
76,20840,1,381,6.0,1.0,V100,9151,ebba56ec23b9,64057,0,0,381,"[1.0, 6.0]",,0,0,381,[32],['V100'],9662.741792413532
77,73606,1,384,6.0,0.25,T4,315,d4d51aca8806,1968,0,0,384,"[0.25, 6.0]",,0,0,384,[18],['T4'],703.3983550650535
78,45813,1,384,6.0,0.5,MISC,7694,61d6b6dd5b15,50011,0,0,384,"[0.5, 6.0]",,0,0,384,[31],['MISC'],8651.19452282128
79,99514,1,387,18.0,1.0,MISC,641,58540f191766,12179,0,0,387,"[1.0, 18.0]",,0,0,387,[7],['MISC'],1062.5484442676734
80,76620,1,388,6.0,1.0,MISC,28,0ed3eacdff35,196,0,0,388,"[1.0, 6.0]",,0,0,388,[45],['MISC'],418.09163867262635
81,14700,1,390,1.0,0.25,MISC,1563,58540f191766,1953,0,0,390,"[0.25, 1.0]",,0,0,390,[31],['MISC'],2019.9642072061426
82,95504,1,398,6.0,1.0,MISC,6678,5b1345f03aa1,46746,0,0,398,"[1.0, 6.0]",,0,0,398,[16],['MISC'],7465.683287278709
83,13241,1,404,10.0,0.5,T4,438,c4cbaac9966d,4599,0,0,404,"[0.5, 10.0]",,0,0,404,[5],['T4'],857.8554442346561
84,80863,1,410,6.0,0.25,T4,609,086c863a6fa4,3806,0,0,410,"[0.25, 6.0]",,0,0,410,[18],['T4'],1079.7371398795399
85,60434,1,414,6.0,0.25,MISC,144,5b1345f03aa1,900,0,0,414,"[0.25, 6.0]",,0,0,414,[21],['V100'],559.9919771264283
86,52396,1,417,6.0,1.0,T4,257,c5307d7cd0cc,1799,0,0,417,"[1.0, 6.0]",,0,0,417,[27],['T4'],686.6833569566635
87,8442,1,422,6.0,1.0,MISC,6800,f21a4d440a8d,47600,0,0,422,"[1.0, 6.0]",,0,0,422,[21],['V100'],7735.931867122941
88,75493,1,427,6.0,1.0,T4,56,b6cab5628423,392,0,0,427,"[1.0, 6.0]",,0,0,427,[38],['T4'],487.8221762941333
89,85873,1,434,6.0,1.0,T4,587,a1c3fcf19f3e,4109,0,0,434,"[1.0, 6.0]",,0,0,434,[47],['T4'],1029.9717854457429
90,42650,1,439,6.0,0.5,MISC,243,5b1345f03aa1,1579,0,0,439,"[0.5, 6.0]",,0,0,439,[45],['MISC'],685.8875626418555
91,53835,1,442,6.0,0.25,MISC,642,a4b58e9de9c6,4012,0,0,442,"[0.25, 6.0]",,0,0,442,[35],['MISC'],1127.6868939064643
92,43124,1,447,6.0,0.5,MISC,1061,58540f191766,6896,0,0,447,"[0.5, 6.0]",,0,0,447,[22],['MISC'],1571.2789981606625
93,86941,1,450,18.0,1.0,MISC,168,0db4ac3f62ed,3192,0,0,450,"[1.0, 18.0]",,0,0,450,[31],['MISC'],624.4640908361316
