job_id,submit_time,duration,jct,num_inst,gpu_type,num_cpu,num_gpu,size,wasted,resource,node,allocated_at,waiting_time,progress
30544,10,622,622,1,MISC,5.0,0.25,3265,0,"[0.25, 5.0]",0,10,0,155.5
90775,14,71,71,1,MISC,6.0,1.0,497,0,"[1.0, 6.0]",0,14,0,71.0
35666,21,190,190,1,MISC,6.0,2.0,1520,0,"[2.0, 6.0]",0,21,0,380.0
55478,25,1511,1511,1,MISC,18.0,1.0,28709,0,"[1.0, 18.0]",0,25,0,1511.0
29619,40,2250,2250,1,MISC,10.0,1.0,24750,0,"[1.0, 10.0]",0,40,0,2250.0
94648,45,195,195,1,MISC,6.0,1.0,1365,0,"[1.0, 6.0]",0,45,0,195.0
7681,53,24,24,1,T4,6.0,1.0,168,0,"[1.0, 6.0]",10,53,0,24.0
58048,56,24,24,1,T4,6.0,1.0,168,0,"[1.0, 6.0]",10,56,0,24.0
51954,57,336,336,1,T4,6.0,1.0,2352,0,"[1.0, 6.0]",11,57,0,336.0
67004,58,1371,1371,1,MISC,6.0,0.25,8568,0,"[0.25, 6.0]",0,58,0,342.75
87304,59,3282,3282,1,MISC,0.2,0.1,984,0,"[0.1, 0.2]",0,59,0,328.20000000000005
83736,63,6569,6569,1,V100,6.0,0.5,42698,0,"[0.5, 6.0]",47,63,0,3284.5
82791,65,310,310,1,MISC,6.0,0.25,1937,0,"[0.25, 6.0]",0,65,0,77.5
36285,69,13925,-1,1,T4,4.0,1.0,69625,0,"[1.0, 4.0]",11,69,0,9163.0
62076,79,236,236,1,T4,6.0,1.0,1652,0,"[1.0, 6.0]",10,79,0,236.0
861,80,2748,2748,1,MISC,6.0,0.1,16762,0,"[0.1, 6.0]",0,80,0,274.8
38257,81,17668,-1,1,MISC,18.0,1.0,335692,0,"[1.0, 18.0]",0,81,0,9151.0
98938,82,717,717,1,MISC,6.0,1.0,5019,0,"[1.0, 6.0]",1,82,0,717.0
56750,88,3399,3399,1,T4,0.5,1.0,5098,0,"[1.0, 0.5]",10,88,0,3399.0
77733,105,634,634,1,MISC,16.0,0.5,10461,0,"[0.5, 16.0]",1,105,0,317.0
58536,114,1854,1854,1,MISC,0.5,0.25,1390,0,"[0.25, 0.5]",0,114,0,463.5
79647,128,651,651,1,MISC,2.0,0.2,1432,0,"[0.2, 2.0]",0,128,0,130.20000000000002
18855,128,5222,5222,1,P100,6.0,1.0,36554,0,"[1.0, 6.0]",28,128,0,5222.0
55712,132,622,622,1,MISC,6.0,1.0,4354,0,"[1.0, 6.0]",1,132,0,622.0
51240,133,104,104,1,T4,6.0,1.0,728,0,"[1.0, 6.0]",12,133,0,104.0
86775,135,173,173,1,MISC,18.0,1.0,3287,0,"[1.0, 18.0]",1,135,0,173.0
68932,151,365,365,1,P100,6.0,1.0,2555,0,"[1.0, 6.0]",28,151,0,365.0
32110,151,1920,1920,1,MISC,6.0,0.1,11712,0,"[0.1, 6.0]",0,151,0,192.0
87254,156,543,543,1,MISC,18.0,1.0,10317,0,"[1.0, 18.0]",1,156,0,543.0
82786,163,137,137,1,T4,6.0,0.25,856,0,"[0.25, 6.0]",12,163,0,34.25
49844,166,40,40,1,MISC,6.0,1.0,280,0,"[1.0, 6.0]",1,166,0,40.0
47073,172,208,208,1,T4,6.0,0.5,1352,0,"[0.5, 6.0]",12,172,0,104.0
65211,172,78837,-1,1,MISC,6.0,0.25,492731,0,"[0.25, 6.0]",0,172,0,2265.0
54833,175,2110,2110,1,MISC,6.0,1.0,14770,0,"[1.0, 6.0]",1,175,0,2110.0
1263,180,505,505,1,T4,6.0,0.25,3156,0,"[0.25, 6.0]",12,180,0,126.25
9599,181,6155,6155,1,T4,6.0,1.0,43085,0,"[1.0, 6.0]",13,181,0,6155.0
83810,183,505,505,1,MISC,6.0,0.25,3156,0,"[0.25, 6.0]",1,183,0,126.25
