job_id,submit_time,duration,jct,num_inst,gpu_type,num_cpu,num_gpu,size,wasted,resource,node,allocated_at,waiting_time,progress
30544,7,622,622,1,MISC,5.0,0.25,3265,0,"[0.25, 5.0]",0,7,0,155.5
90775,9,71,71,1,MISC,6.0,1.0,497,0,"[1.0, 6.0]",0,9,0,71.0
35666,17,190,190,1,MISC,6.0,2.0,1520,0,"[2.0, 6.0]",0,17,0,380.0
55478,19,1511,1511,1,MISC,18.0,1.0,28709,0,"[1.0, 18.0]",0,19,0,1511.0
29619,19,2250,2250,1,MISC,10.0,1.0,24750,0,"[1.0, 10.0]",0,19,0,2250.0
94648,21,195,195,1,MISC,6.0,1.0,1365,0,"[1.0, 6.0]",0,21,0,195.0
7681,24,24,24,1,T4,6.0,1.0,168,0,"[1.0, 6.0]",10,24,0,24.0
58048,26,24,24,1,T4,6.0,1.0,168,0,"[1.0, 6.0]",10,26,0,24.0
51954,28,336,336,1,T4,6.0,1.0,2352,0,"[1.0, 6.0]",11,28,0,336.0
67004,39,1371,1371,1,MISC,6.0,0.25,8568,0,"[0.25, 6.0]",0,39,0,342.75
87304,40,3282,3282,1,MISC,0.2,0.1,984,0,"[0.1, 0.2]",0,40,0,328.20000000000005
82791,45,310,310,1,MISC,6.0,0.25,1937,0,"[0.25, 6.0]",0,45,0,77.5
83736,45,6569,6569,1,V100,6.0,0.5,42698,0,"[0.5, 6.0]",47,45,0,3284.5
36285,53,13925,-1,1,T4,4.0,1.0,69625,0,"[1.0, 4.0]",11,53,0,9056.0
62076,55,236,236,1,T4,6.0,1.0,1652,0,"[1.0, 6.0]",10,55,0,236.0
861,56,2748,2748,1,MISC,6.0,0.1,16762,0,"[0.1, 6.0]",0,56,0,274.8
38257,67,17668,-1,1,MISC,18.0,1.0,335692,0,"[1.0, 18.0]",0,67,0,9042.0
98938,74,717,717,1,MISC,6.0,1.0,5019,0,"[1.0, 6.0]",1,74,0,717.0
56750,76,3399,3399,1,T4,0.5,1.0,5098,0,"[1.0, 0.5]",10,76,0,3399.0
77733,79,634,634,1,MISC,16.0,0.5,10461,0,"[0.5, 16.0]",1,79,0,317.0
58536,80,1854,1854,1,MISC,0.5,0.25,1390,0,"[0.25, 0.5]",0,80,0,463.5
18855,80,5222,5222,1,P100,6.0,1.0,36554,0,"[1.0, 6.0]",28,80,0,5222.0
79647,84,651,651,1,MISC,2.0,0.2,1432,0,"[0.2, 2.0]",0,84,0,130.20000000000002
55712,105,622,622,1,MISC,6.0,1.0,4354,0,"[1.0, 6.0]",1,105,0,622.0
51240,107,104,104,1,T4,6.0,1.0,728,0,"[1.0, 6.0]",12,107,0,104.0
86775,111,173,173,1,MISC,18.0,1.0,3287,0,"[1.0, 18.0]",1,111,0,173.0
32110,120,1920,1920,1,MISC,6.0,0.1,11712,0,"[0.1, 6.0]",0,120,0,192.0
68932,124,365,365,1,P100,6.0,1.0,2555,0,"[1.0, 6.0]",28,124,0,365.0
87254,126,543,543,1,MISC,18.0,1.0,10317,0,"[1.0, 18.0]",1,126,0,543.0
82786,127,137,137,1,T4,6.0,0.25,856,0,"[0.25, 6.0]",12,127,0,34.25
49844,134,40,40,1,MISC,6.0,1.0,280,0,"[1.0, 6.0]",1,134,0,40.0
47073,137,208,208,1,T4,6.0,0.5,1352,0,"[0.5, 6.0]",12,137,0,104.0
65211,139,78837,-1,1,MISC,6.0,0.25,492731,0,"[0.25, 6.0]",0,139,0,2242.5
1263,142,505,505,1,T4,6.0,0.25,3156,0,"[0.25, 6.0]",12,142,0,126.25
54833,142,2110,2110,1,MISC,6.0,1.0,14770,0,"[1.0, 6.0]",1,142,0,2110.0
9599,149,6155,6155,1,T4,6.0,1.0,43085,0,"[1.0, 6.0]",13,149,0,6155.0
83810,163,505,505,1,MISC,6.0,0.25,3156,0,"[0.25, 6.0]",1,163,0,126.25
23484,174,44,44,1,T4,6.0,1.0,308,0,"[1.0, 6.0]",13,174,0,44.0
31495,179,3985,3985,1,T4,16.0,1.0,67745,0,"[1.0, 16.0]",14,179,0,3985.0
90322,182,61,61,1,MISC,18.0,1.0,1159,0,"[1.0, 18.0]",1,182,0,61.0
87268,184,113,113,1,MISC,18.0,1.0,2147,0,"[1.0, 18.0]",2,184,0,113.0
27134,184,65704,-1,1,P100,5.0,0.5,361372,0,"[0.5, 5.0]",29,184,0,4462.5
