,job_id,num_inst,submit_time,num_cpu,num_gpu,gpu_type,duration,user,size,on_time,wasted,jct,resource,node,allocated_at,bw,exec_time,final_node_allocation,final_gpu_allocation,deadline
0,30544,1,4,5.0,0.25,MISC,622,6fb93540c8aa,3265,0,0,4,"[0.25, 5.0]",,0,0,4,[0],['MISC'],672.1244410850617
1,90775,1,9,6.0,1.0,MISC,71,05b25af4dd8b,497,0,0,9,"[1.0, 6.0]",,0,0,9,[3],['MISC'],81.7387321620047
2,35666,1,20,6.0,2.0,MISC,190,f14128db0160,1520,0,0,20,"[2.0, 6.0]",,0,0,20,[7],['MISC'],212.65122064197774
3,55478,1,31,18.0,1.0,MISC,1511,05b25af4dd8b,28709,0,0,31,"[1.0, 18.0]",,0,0,31,[8],['MISC'],1557.4870211195146
4,29619,1,32,10.0,1.0,MISC,2250,c677a0acf7c0,24750,0,0,32,"[1.0, 10.0]",,0,0,32,[10],['MISC'],2448.650242550227
6,7681,1,41,6.0,1.0,T4,24,0ed3eacdff35,168,0,0,41,"[1.0, 6.0]",,0,0,41,[2],['T4'],66.4171820298777
7,58048,1,44,6.0,1.0,T4,24,0ed3eacdff35,168,0,0,44,"[1.0, 6.0]",,0,0,44,[4],['T4'],68.07627843075628
5,94648,1,41,6.0,1.0,MISC,195,18febf35d3a1,1365,0,0,59,"[1.0, 6.0]",,0,0,59,[16],['MISC'],246.63464740809283
8,51954,1,59,6.0,1.0,T4,336,1480b75a8c96,2352,0,0,60,"[1.0, 6.0]",,0,0,60,[5],['T4'],398.14816005934955
9,67004,1,60,6.0,0.25,MISC,1371,58540f191766,8568,0,0,61,"[0.25, 6.0]",,0,0,61,[21],['V100'],1462.8978084838704
10,87304,1,61,0.2,0.1,MISC,3282,58540f191766,984,0,0,65,"[0.1, 0.2]",,0,0,65,[22],['MISC'],3540.5825468742037
11,83736,1,65,6.0,0.5,V100,6569,58540f191766,42698,0,0,66,"[0.5, 6.0]",,0,0,66,[32],['V100'],7002.681881844375
12,82791,1,73,6.0,0.25,MISC,310,8cfd63627f23,1937,0,0,73,"[0.25, 6.0]",,0,0,73,[31],['MISC'],405.1966080005945
13,36285,1,79,4.0,1.0,T4,13925,205ccfa32cac,69625,0,0,79,"[1.0, 4.0]",,0,0,79,[2],['T4'],14980.595025724404
14,62076,1,83,6.0,1.0,T4,236,c5307d7cd0cc,1652,0,0,83,"[1.0, 6.0]",,0,0,83,[4],['T4'],328.90066777469514
15,861,1,86,6.0,0.1,MISC,2748,58540f191766,16762,0,0,86,"[0.1, 6.0]",,0,0,86,[3],['MISC'],2957.442645918803
16,38257,1,89,18.0,1.0,MISC,17668,c2a3a3121170,335692,0,0,89,"[1.0, 18.0]",,0,0,89,[35],['MISC'],18248.507343301935
17,98938,1,92,6.0,1.0,MISC,717,5b1345f03aa1,5019,0,0,92,"[1.0, 6.0]",,0,0,92,[40],['V100'],871.3288330008534
19,77733,1,98,16.0,0.5,MISC,634,2a584cff5de0,10461,0,0,98,"[0.5, 16.0]",,0,0,98,[45],['MISC'],742.1224006582949
20,58536,1,99,0.5,0.25,MISC,1854,b2c52019b2c6,1390,0,0,99,"[0.25, 0.5]",,0,0,99,[3],['MISC'],2031.3527094176593
18,56750,1,92,0.5,1.0,T4,3399,d4d51aca8806,5098,0,0,129,"[1.0, 0.5]",,0,0,129,[6],['T4'],3748.9186240874083
22,79647,1,130,2.0,0.2,MISC,651,8deed0d477b8,1432,0,0,130,"[0.2, 2.0]",,0,0,130,[22],['MISC'],795.0169259132041
23,55712,1,132,6.0,1.0,MISC,622,5b1345f03aa1,4354,0,0,132,"[1.0, 6.0]",,0,0,132,[0],['MISC'],801.4893348242058
24,51240,1,137,6.0,1.0,T4,104,c9e676ebc7ef,728,0,0,137,"[1.0, 6.0]",,0,0,137,[12],['T4'],242.06298687580642
25,86775,1,141,18.0,1.0,MISC,173,0db4ac3f62ed,3287,0,0,141,"[1.0, 18.0]",,0,0,141,[21],['V100'],320.5727423010259
26,32110,1,151,6.0,0.1,MISC,1920,58540f191766,11712,0,0,151,"[0.1, 6.0]",,0,0,151,[31],['MISC'],2139.9240410530483
27,68932,1,154,6.0,1.0,P100,365,58540f191766,2555,0,0,154,"[1.0, 6.0]",,0,0,154,[1],['P100'],531.5543838704824
28,87254,1,161,18.0,1.0,MISC,543,eea150bdfdd6,10317,0,0,161,"[1.0, 18.0]",,0,0,161,[22],['MISC'],718.3634830901553
29,82786,1,163,6.0,0.25,T4,137,c9e676ebc7ef,856,0,0,163,"[0.25, 6.0]",,0,0,163,[14],['T4'],300.59527106804643
30,49844,1,164,6.0,1.0,MISC,40,a8192d6b0ae9,280,0,0,164,"[1.0, 6.0]",,0,0,164,[3],['MISC'],205.83769951868737
31,47073,1,165,6.0,0.5,T4,208,d4d51aca8806,1352,0,0,165,"[0.5, 6.0]",,0,0,165,[18],['T4'],375.59638418734676
21,18855,1,129,6.0,1.0,P100,5222,d7052eeddab7,36554,0,0,169,"[1.0, 6.0]",,0,0,169,[9],['P100'],5496.1044146209315
33,54833,1,171,6.0,1.0,MISC,2110,7b76597f4283,14770,0,0,171,"[1.0, 6.0]",,0,0,171,[31],['MISC'],2297.626841794555
34,1263,1,180,6.0,0.25,T4,505,d4d51aca8806,3156,0,0,180,"[0.25, 6.0]",,0,0,180,[19],['T4'],699.8055032110582
35,9599,1,185,6.0,1.0,T4,6155,ad65dadf77c0,43085,0,0,185,"[1.0, 6.0]",,0,0,185,[26],['T4'],6726.9277965888305
36,83810,1,186,6.0,0.25,MISC,505,05b25af4dd8b,3156,0,0,186,"[0.25, 6.0]",,0,0,186,[32],['V100'],735.7153132708088
37,23484,1,197,6.0,1.0,T4,44,29380421d3fc,308,0,0,197,"[1.0, 6.0]",,0,0,197,[27],['T4'],242.5911941151347
38,31495,1,204,16.0,1.0,T4,3985,8d8cb36a6118,67745,0,0,204,"[1.0, 16.0]",,0,0,204,[28],['T4'],4265.627003217279
39,90322,1,205,18.0,1.0,MISC,61,0db4ac3f62ed,1159,0,0,205,"[1.0, 18.0]",,0,0,205,[3],['MISC'],266.4242864078248
40,27134,1,210,5.0,0.5,P100,65704,6c545bed7d03,361372,0,0,210,"[0.5, 5.0]",,0,0,210,[11],['P100'],70258.76450831728
32,65211,1,169,6.0,0.25,MISC,78837,c677a0acf7c0,492731,0,0,211,"[0.25, 6.0]",,0,0,211,[7],['MISC'],86277.1000244584
41,87268,1,212,18.0,1.0,MISC,113,0db4ac3f62ed,2147,0,0,212,"[1.0, 18.0]",,0,0,212,[7],['MISC'],333.7356722509122
42,97219,1,213,6.0,0.5,MISC,826,58540f191766,5369,0,0,213,"[0.5, 6.0]",,0,0,213,[45],['MISC'],1120.3792976065786
43,91088,1,222,6.0,0.25,MISC,12420,de69ddc1064e,77625,0,0,222,"[0.25, 6.0]",,0,0,222,[32],['V100'],13704.304609500814
44,3335,1,223,6.0,0.5,T4,4082,d4d51aca8806,26533,0,0,223,"[0.5, 6.0]",,0,0,223,[30],['T4'],4658.6986327695
46,86241,1,224,6.0,1.0,MISC,421,18febf35d3a1,2947,0,0,224,"[1.0, 6.0]",,0,0,224,[8],['MISC'],664.0885737297111
47,92137,1,229,6.0,2.0,T4,15,45bd92802aa9,120,0,0,229,"[2.0, 6.0]",,0,0,229,[38],['T4'],245.25116563996113
45,85781,1,224,6.0,0.5,MISC,755,8cfd63627f23,4907,0,0,230,"[0.5, 6.0]",,0,0,230,[10],['MISC'],1007.699529990457
49,39690,1,232,6.0,1.0,MISC,63,0ed3eacdff35,441,0,0,232,"[1.0, 6.0]",,0,0,232,[16],['MISC'],297.2382054114334
50,65034,1,233,6.0,0.25,T4,2145,d4d51aca8806,13406,0,0,233,"[0.25, 6.0]",,0,0,233,[42],['T4'],2521.7525749040155
51,61788,1,239,6.0,1.0,MISC,52,42aa9724a88c,364,0,0,239,"[1.0, 6.0]",,0,0,239,[32],['V100'],294.6494656299845
52,80494,1,240,6.0,0.25,MISC,4941,de69ddc1064e,30881,0,0,240,"[0.25, 6.0]",,0,0,240,[35],['MISC'],5518.740901541668
48,93524,1,230,6.0,1.0,P100,13772,b3bfe9b79bb5,96404,0,0,242,"[1.0, 6.0]",,0,0,242,[12],['T4'],14226.00722260336
53,14383,1,244,6.0,0.5,MISC,294,ba85cca2ba13,1911,0,0,244,"[0.5, 6.0]",,0,0,244,[40],['V100'],540.0992337816093
54,85186,1,244,18.0,1.0,P100,15715,c2a3a3121170,298585,0,0,245,"[1.0, 18.0]",,0,0,245,[13],['P100'],16956.86837990168
55,25137,1,248,6.0,0.25,T4,675,bbd5a1434ac7,4218,0,0,248,"[0.25, 6.0]",,0,0,248,[27],['T4'],959.0544416995053
56,65828,1,260,6.0,0.25,MISC,3817,f5440bdf32a5,23856,0,0,260,"[0.25, 6.0]",,0,0,260,[16],['MISC'],4170.4443301303
57,62600,1,266,6.0,0.5,MISC,873,58540f191766,5674,0,0,266,"[0.5, 6.0]",,0,0,266,[45],['MISC'],1179.3553164946024
58,54259,1,268,6.0,1.0,MISC,58,0fe7087caa8a,406,0,0,268,"[1.0, 6.0]",,0,0,268,[3],['MISC'],327.5656973953488
59,51978,1,270,6.0,1.0,MISC,26,354e3b81c515,182,0,0,270,"[1.0, 6.0]",,0,0,270,[0],['MISC'],298.40601706701517
60,46927,1,271,6.0,0.25,MISC,59087,58540f191766,369293,0,0,271,"[0.25, 6.0]",,0,0,271,[7],['MISC'],63424.142563794914
61,24919,1,274,16.0,2.0,MISC,92854,5b1345f03aa1,1671372,0,0,274,"[2.0, 16.0]",,0,0,274,[16],['MISC'],95167.21473638354
62,18936,1,275,10.0,0.5,T4,688,c4cbaac9966d,7224,0,0,275,"[0.5, 10.0]",,0,0,275,[38],['T4'],985.3106521277741
63,25090,1,276,18.0,1.0,MISC,262,bb2156e6bf03,4978,0,0,276,"[1.0, 18.0]",,0,0,276,[21],['V100'],558.1298157329202
64,52695,1,277,18.0,1.0,P100,9563,c2a3a3121170,181697,0,0,277,"[1.0, 18.0]",,0,0,277,[15],['P100'],9893.493459241381
65,29461,1,284,6.0,0.5,T4,2551,49287aeb3803,16581,0,0,284,"[0.5, 6.0]",,0,0,284,[44],['T4'],3044.641841731137
66,99735,1,289,18.0,1.0,P100,193,4834d97c36e5,3667,0,0,289,"[1.0, 18.0]",,0,0,289,[17],['P100'],497.53738395488443
67,10549,1,298,6.0,0.25,T4,939,d4d51aca8806,5868,0,0,298,"[0.25, 6.0]",,0,0,298,[47],['T4'],1274.6693735013964
68,42003,1,299,6.0,0.1,MISC,3003,58540f191766,18318,0,0,299,"[0.1, 6.0]",,0,0,299,[32],['V100'],3321.876438145028
69,50766,1,300,6.0,1.0,P100,33,a8192d6b0ae9,231,0,0,300,"[1.0, 6.0]",,0,0,300,[20],['P100'],336.0133492098123
70,67627,1,314,6.0,1.0,MISC,66,0ed3eacdff35,462,0,0,314,"[1.0, 6.0]",,0,0,314,[32],['V100'],383.7433883397581
71,13222,1,318,6.0,0.25,T4,16180,d4d51aca8806,101125,0,0,318,"[0.25, 6.0]",,0,0,318,[14],['T4'],17659.585290023304
72,55197,1,320,6.0,0.1,MISC,5315,58540f191766,32421,0,0,320,"[0.1, 6.0]",,0,0,320,[0],['MISC'],5748.011008164775
73,22737,1,321,6.0,0.25,T4,504,d4d51aca8806,3150,0,0,321,"[0.25, 6.0]",,0,0,321,[4],['T4'],850.1612554784108
74,97523,1,334,6.0,0.5,T4,31553,9cc55781f4a6,205094,0,0,334,"[0.5, 6.0]",,0,0,334,[48],['T4'],34678.440755458716
75,23880,1,337,6.0,0.2,MISC,1727,edc10645cc3f,10707,0,0,337,"[0.2, 6.0]",,0,0,337,[3],['MISC'],2175.0205179836134
76,20840,1,338,6.0,1.0,V100,9151,ebba56ec23b9,64057,0,0,338,"[1.0, 6.0]",,0,0,338,[21],['V100'],9619.741792413532
77,73606,1,343,6.0,0.25,T4,315,d4d51aca8806,1968,0,0,343,"[0.25, 6.0]",,0,0,343,[49],['T4'],662.3983550650535
78,45813,1,345,6.0,0.5,MISC,7694,61d6b6dd5b15,50011,0,0,345,"[0.5, 6.0]",,0,0,345,[7],['MISC'],8612.19452282128
79,99514,1,351,18.0,1.0,MISC,641,58540f191766,12179,0,0,351,"[1.0, 18.0]",,0,0,351,[3],['MISC'],1026.5484442676734
80,76620,1,371,6.0,1.0,MISC,28,0ed3eacdff35,196,0,0,371,"[1.0, 6.0]",,0,0,371,[7],['MISC'],401.09163867262635
81,14700,1,380,1.0,0.25,MISC,1563,58540f191766,1953,0,0,380,"[0.25, 1.0]",,0,0,380,[35],['MISC'],2009.9642072061426
82,95504,1,383,6.0,1.0,MISC,6678,5b1345f03aa1,46746,0,0,383,"[1.0, 6.0]",,0,0,383,[32],['V100'],7450.683287278709
83,13241,1,384,10.0,0.5,T4,438,c4cbaac9966d,4599,0,0,384,"[0.5, 10.0]",,0,0,384,[18],['T4'],837.8554442346561
84,80863,1,391,6.0,0.25,T4,609,086c863a6fa4,3806,0,0,391,"[0.25, 6.0]",,0,0,391,[4],['T4'],1060.7371398795399
85,60434,1,397,6.0,0.25,MISC,144,5b1345f03aa1,900,0,0,397,"[0.25, 6.0]",,0,0,397,[31],['MISC'],542.9919771264283
86,52396,1,397,6.0,1.0,T4,257,c5307d7cd0cc,1799,0,0,398,"[1.0, 6.0]",,0,0,398,[5],['T4'],666.6833569566635
87,8442,1,398,6.0,1.0,MISC,6800,f21a4d440a8d,47600,0,0,400,"[1.0, 6.0]",,0,0,400,[7],['MISC'],7711.931867122941
88,75493,1,404,6.0,1.0,T4,56,b6cab5628423,392,0,0,404,"[1.0, 6.0]",,0,0,404,[14],['T4'],464.8221762941333
89,85873,1,418,6.0,1.0,T4,587,a1c3fcf19f3e,4109,0,0,418,"[1.0, 6.0]",,0,0,418,[19],['T4'],1013.9717854457429
90,42650,1,419,6.0,0.5,MISC,243,5b1345f03aa1,1579,0,0,419,"[0.5, 6.0]",,0,0,419,[22],['MISC'],665.8875626418555
91,53835,1,428,6.0,0.25,MISC,642,a4b58e9de9c6,4012,0,0,428,"[0.25, 6.0]",,0,0,428,[0],['MISC'],1113.6868939064643
92,43124,1,432,6.0,0.5,MISC,1061,58540f191766,6896,0,0,432,"[0.5, 6.0]",,0,0,432,[31],['MISC'],1556.2789981606625
93,86941,1,444,18.0,1.0,MISC,168,0db4ac3f62ed,3192,0,0,444,"[1.0, 18.0]",,0,0,444,[10],['MISC'],618.4640908361316
94,91263,1,450,2.0,1.0,P100,142750,c2a3a3121170,428250,0,0,450,"[1.0, 2.0]",,0,0,450,[20],['P100'],151706.3073148551
95,40071,1,451,6.0,1.0,P100,62,0ed3eacdff35,434,0,0,451,"[1.0, 6.0]",,0,0,451,[23],['P100'],515.901909304265
96,12764,1,464,6.0,0.25,MISC,3328,b3bfe9b79bb5,20800,0,0,464,"[0.25, 6.0]",,0,0,464,[35],['MISC'],3875.6706191299477
97,24736,1,470,6.0,0.4,MISC,431,d791bf56f283,2758,0,0,470,"[0.4, 6.0]",,0,0,470,[40],['V100'],924.8440361268789
98,77168,1,471,6.0,0.25,T4,10532,d4d51aca8806,65825,0,0,471,"[0.25, 6.0]",,0,0,471,[14],['T4'],11995.568183205216
99,42298,1,474,6.0,0.5,MISC,896,58540f191766,5824,0,0,474,"[0.5, 6.0]",,0,0,474,[45],['MISC'],1430.953393558984
100,40524,1,487,6.0,1.0,T4,164,1480b75a8c96,1148,0,0,487,"[1.0, 6.0]",,0,0,487,[27],['T4'],652.8786485849324
101,26304,1,493,6.0,0.1,MISC,5818,58540f191766,35489,0,0,493,"[0.1, 6.0]",,0,0,493,[3],['MISC'],6825.769920285115
102,64232,1,496,6.0,1.0,MISC,58,5b1345f03aa1,406,0,0,496,"[1.0, 6.0]",,0,0,496,[0],['MISC'],558.3550912376313
103,50929,1,514,6.0,0.25,MISC,31,05b25af4dd8b,193,0,0,514,"[0.25, 6.0]",,0,0,514,[3],['MISC'],547.3826560712381
104,80626,1,524,6.0,0.25,MISC,21273,de69ddc1064e,132956,0,0,524,"[0.25, 6.0]",,0,0,524,[35],['MISC'],22520.655283778942
105,62546,1,532,6.0,1.0,MISC,36,5b1345f03aa1,252,0,0,532,"[1.0, 6.0]",,0,0,532,[22],['MISC'],569.0566004631307
106,69783,1,536,6.0,0.25,MISC,877,05b25af4dd8b,5481,0,0,536,"[0.25, 6.0]",,0,0,536,[31],['MISC'],1426.8704350560274
107,15837,1,536,6.0,0.5,MISC,1346,58540f191766,8749,0,0,539,"[0.5, 6.0]",,0,0,539,[21],['V100'],1882.4368195472928
108,79730,1,543,6.0,0.5,MISC,3917,58540f191766,25460,0,0,543,"[0.5, 6.0]",,0,0,543,[40],['V100'],4742.8434604150925
109,10185,1,544,6.0,0.25,MISC,180,05b25af4dd8b,1125,0,0,544,"[0.25, 6.0]",,0,0,544,[21],['V100'],736.9542520399466
110,4753,1,545,6.0,0.25,T4,8299,d4d51aca8806,51868,0,0,545,"[0.25, 6.0]",,0,0,545,[42],['T4'],9650.569933252309
111,88019,1,570,18.0,1.0,MISC,145,ec43ba352d82,2755,0,0,570,"[1.0, 18.0]",,0,0,570,[0],['MISC'],726.048451886255
112,91875,1,581,6.0,1.0,V100,18372,eae120b3ece2,128604,0,0,581,"[1.0, 6.0]",,0,0,581,[40],['V100'],19885.71277258307
113,2696,1,588,6.0,1.0,MISC,200,0ed3eacdff35,1400,0,0,588,"[1.0, 6.0]",,0,0,588,[3],['MISC'],790.1282164559541
114,79802,1,590,6.0,0.1,MISC,2639,58540f191766,16097,0,0,590,"[0.1, 6.0]",,0,0,590,[22],['MISC'],3394.016721082178
115,1180,1,594,10.0,0.5,T4,383,c4cbaac9966d,4021,0,0,594,"[0.5, 10.0]",,0,0,594,[47],['T4'],1009.2359360350055
116,95637,1,607,4.0,1.0,MISC,5189,b3bfe9b79bb5,25945,0,0,607,"[1.0, 4.0]",,0,0,607,[31],['MISC'],6059.426269458195
117,87344,1,615,0.2,0.1,MISC,9242,58540f191766,2772,0,0,615,"[0.1, 0.2]",,0,0,615,[10],['MISC'],10040.833640250967
118,55150,1,621,6.0,0.25,MISC,8137,de69ddc1064e,50856,0,0,621,"[0.25, 6.0]",,0,0,621,[10],['MISC'],9062.253701853417
119,62808,1,627,6.0,1.0,MISC,680,5b1345f03aa1,4760,0,0,627,"[1.0, 6.0]",,0,0,627,[10],['MISC'],1317.9853344312144
120,76978,1,631,0.5,0.5,MISC,1036,3e92fff000f3,1036,0,0,631,"[0.5, 0.5]",,0,0,631,[22],['MISC'],1765.782573856903
