job_id,submit_time,duration,jct,num_inst,gpu_type,num_cpu,num_gpu,size,wasted,resource,node,allocated_at,waiting_time,progress
30544,3,622,622,1,MISC,5.0,0.25,3265,0,"[0.25, 5.0]",0,3,0,155.5
90775,8,71,71,1,MISC,6.0,1.0,497,0,"[1.0, 6.0]",1,8,0,71.0
35666,19,190,190,1,MISC,6.0,2.0,1520,0,"[2.0, 6.0]",2,19,0,380.0
55478,30,1511,1511,1,MISC,18.0,1.0,28709,0,"[1.0, 18.0]",3,30,0,1511.0
29619,31,2250,2250,1,MISC,10.0,1.0,24750,0,"[1.0, 10.0]",4,31,0,2250.0
7681,40,24,24,1,T4,6.0,1.0,168,0,"[1.0, 6.0]",10,40,0,24.0
94648,40,195,195,1,MISC,6.0,1.0,1365,0,"[1.0, 6.0]",5,40,0,195.0
58048,43,24,24,1,T4,6.0,1.0,168,0,"[1.0, 6.0]",11,43,0,24.0
51954,58,336,336,1,T4,6.0,1.0,2352,0,"[1.0, 6.0]",12,58,0,336.0
67004,59,1371,1371,1,MISC,6.0,0.25,8568,0,"[0.25, 6.0]",6,59,0,342.75
87304,60,3282,3282,1,MISC,0.2,0.1,984,0,"[0.1, 0.2]",7,60,0,328.20000000000005
83736,64,6569,6569,1,V100,6.0,0.5,42698,0,"[0.5, 6.0]",47,64,0,3284.5
82791,72,310,310,1,MISC,6.0,0.25,1937,0,"[0.25, 6.0]",8,72,0,77.5
36285,78,13925,-1,1,T4,4.0,1.0,69625,0,"[1.0, 4.0]",10,78,0,9682.0
62076,82,236,236,1,T4,6.0,1.0,1652,0,"[1.0, 6.0]",11,82,0,236.0
861,85,2748,2748,1,MISC,6.0,0.1,16762,0,"[0.1, 6.0]",1,85,0,274.8
38257,88,17668,-1,1,MISC,18.0,1.0,335692,0,"[1.0, 18.0]",9,88,0,9672.0
56750,91,3399,3399,1,T4,0.5,1.0,5098,0,"[1.0, 0.5]",13,91,0,3399.0
98938,91,717,717,1,MISC,6.0,1.0,5019,0,"[1.0, 6.0]",7,91,0,717.0
77733,97,634,634,1,MISC,16.0,0.5,10461,0,"[0.5, 16.0]",0,97,0,317.0
58536,98,1854,1854,1,MISC,0.5,0.25,1390,0,"[0.25, 0.5]",1,98,0,463.5
18855,128,5222,5222,1,P100,6.0,1.0,36554,0,"[1.0, 6.0]",28,128,0,5222.0
79647,129,651,651,1,MISC,2.0,0.2,1432,0,"[0.2, 2.0]",6,129,0,130.20000000000002
55712,131,622,622,1,MISC,6.0,1.0,4354,0,"[1.0, 6.0]",8,131,0,622.0
51240,136,104,104,1,T4,6.0,1.0,728,0,"[1.0, 6.0]",14,136,0,104.0
86775,140,173,173,1,MISC,18.0,1.0,3287,0,"[1.0, 18.0]",1,140,0,173.0
32110,150,1920,1920,1,MISC,6.0,0.1,11712,0,"[0.1, 6.0]",6,150,0,192.0
68932,153,365,365,1,P100,6.0,1.0,2555,0,"[1.0, 6.0]",29,153,0,365.0
87254,160,543,543,1,MISC,18.0,1.0,10317,0,"[1.0, 18.0]",5,160,0,543.0
82786,162,137,137,1,T4,6.0,0.25,856,0,"[0.25, 6.0]",15,162,0,34.25
49844,163,40,40,1,MISC,6.0,1.0,280,0,"[1.0, 6.0]",7,163,0,40.0
47073,164,208,208,1,T4,6.0,0.5,1352,0,"[0.5, 6.0]",16,164,0,104.0
65211,168,78837,-1,1,MISC,6.0,0.25,492731,0,"[0.25, 6.0]",4,168,0,2398.0
54833,170,2110,2110,1,MISC,6.0,1.0,14770,0,"[1.0, 6.0]",6,170,0,2110.0
1263,179,505,505,1,T4,6.0,0.25,3156,0,"[0.25, 6.0]",17,179,0,126.25
9599,184,6155,6155,1,T4,6.0,1.0,43085,0,"[1.0, 6.0]",18,184,0,6155.0
83810,185,505,505,1,MISC,6.0,0.25,3156,0,"[0.25, 6.0]",8,185,0,126.25
23484,196,44,44,1,T4,6.0,1.0,308,0,"[1.0, 6.0]",19,196,0,44.0
31495,203,3985,3985,1,T4,16.0,1.0,67745,0,"[1.0, 16.0]",20,203,0,3985.0
90322,204,61,61,1,MISC,18.0,1.0,1159,0,"[1.0, 18.0]",7,204,0,61.0
27134,209,65704,-1,1,P100,5.0,0.5,361372,0,"[0.5, 5.0]",30,209,0,4775.5
87268,211,113,113,1,MISC,18.0,1.0,2147,0,"[1.0, 18.0]",2,211,0,113.0
97219,212,826,826,1,MISC,6.0,0.5,5369,0,"[0.5, 6.0]",0,212,0,413.0
91088,221,12420,-1,1,MISC,6.0,0.25,77625,0,"[0.25, 6.0]",2,221,0,2384.75
3335,222,4082,4082,1,T4,6.0,0.5,26533,0,"[0.5, 6.0]",21,222,0,2041.0
85781,223,755,755,1,MISC,6.0,0.5,4907,0,"[0.5, 6.0]",3,223,0,377.5
86241,223,421,421,1,MISC,6.0,1.0,2947,0,"[1.0, 6.0]",4,223,0,421.0
92137,228,15,15,1,T4,6.0,2.0,120,0,"[2.0, 6.0]",22,228,0,30.0
93524,229,13772,-1,1,P100,6.0,1.0,96404,0,"[1.0, 6.0]",31,229,0,9531.0
39690,231,63,63,1,MISC,6.0,1.0,441,0,"[1.0, 6.0]",9,231,0,63.0
65034,232,2145,2145,1,T4,6.0,0.25,13406,0,"[0.25, 6.0]",23,232,0,536.25
61788,238,52,52,1,MISC,6.0,1.0,364,0,"[1.0, 6.0]",5,238,0,52.0
80494,239,4941,4941,1,MISC,6.0,0.25,30881,0,"[0.25, 6.0]",8,239,0,1235.25
14383,243,294,294,1,MISC,6.0,0.5,1911,0,"[0.5, 6.0]",2,243,0,147.0
85186,243,15715,-1,1,P100,18.0,1.0,298585,0,"[1.0, 18.0]",32,243,0,9517.0
25137,247,675,675,1,T4,6.0,0.25,4218,0,"[0.25, 6.0]",14,247,0,168.75
65828,259,3817,3817,1,MISC,6.0,0.25,23856,0,"[0.25, 6.0]",6,259,0,954.25
62600,265,873,873,1,MISC,6.0,0.5,5674,0,"[0.5, 6.0]",7,265,0,436.5
54259,267,58,58,1,MISC,6.0,1.0,406,0,"[1.0, 6.0]",7,267,0,58.0
51978,269,26,26,1,MISC,6.0,1.0,182,0,"[1.0, 6.0]",1,269,0,26.0
46927,270,59087,-1,1,MISC,6.0,0.25,369293,0,"[0.25, 6.0]",0,270,0,2372.5
24919,273,92854,-1,1,MISC,16.0,2.0,1671372,0,"[2.0, 16.0]",3,273,0,18974.0
18936,274,688,688,1,T4,10.0,0.5,7224,0,"[0.5, 10.0]",19,274,0,344.0
25090,275,262,262,1,MISC,18.0,1.0,4978,0,"[1.0, 18.0]",8,275,0,262.0
52695,276,9563,-1,1,P100,18.0,1.0,181697,0,"[1.0, 18.0]",33,276,0,9484.0
29461,283,2551,2551,1,T4,6.0,0.5,16581,0,"[0.5, 6.0]",22,283,0,1275.5
99735,288,193,193,1,P100,18.0,1.0,3667,0,"[1.0, 18.0]",34,288,0,193.0
10549,297,939,939,1,T4,6.0,0.25,5868,0,"[0.25, 6.0]",24,297,0,234.75
42003,298,3003,3003,1,MISC,6.0,0.1,18318,0,"[0.1, 6.0]",5,298,0,300.3
50766,299,33,33,1,P100,6.0,1.0,231,0,"[1.0, 6.0]",35,299,0,33.0
67627,313,66,66,1,MISC,6.0,1.0,462,0,"[1.0, 6.0]",1,313,0,66.0
13222,317,16180,-1,1,T4,6.0,0.25,101125,0,"[0.25, 6.0]",15,317,0,2360.75
55197,319,5315,5315,1,MISC,6.0,0.1,32421,0,"[0.1, 6.0]",1,319,0,531.5
22737,320,504,504,1,T4,6.0,0.25,3150,0,"[0.25, 6.0]",11,320,0,126.0
97523,333,31553,-1,1,T4,6.0,0.5,205094,0,"[0.5, 6.0]",25,333,0,4713.5
23880,336,1727,1727,1,MISC,6.0,0.2,10707,0,"[0.2, 6.0]",2,336,0,345.40000000000003
20840,337,9151,9151,1,V100,6.0,1.0,64057,0,"[1.0, 6.0]",48,337,0,9151.0
73606,342,315,315,1,T4,6.0,0.25,1968,0,"[0.25, 6.0]",26,342,0,78.75
45813,344,7694,7694,1,MISC,6.0,0.5,50011,0,"[0.5, 6.0]",2,344,0,3847.0
99514,350,641,641,1,MISC,18.0,1.0,12179,0,"[1.0, 18.0]",7,350,0,641.0
76620,370,28,28,1,MISC,6.0,1.0,196,0,"[1.0, 6.0]",9,370,0,28.0
14700,379,1563,1563,1,MISC,1.0,0.25,1953,0,"[0.25, 1.0]",1,379,0,390.75
